facet,facet_value,category,year,value,confidence95_lower,confidence95_upper
gender,Mann,Tatsächliche Arbeitszeit,2008,43.03343,42.70560,43.36127
gender,Mann,Tatsächliche Arbeitszeit,2009,43.12514,42.81533,43.43494
gender,Mann,Tatsächliche Arbeitszeit,2010,42.56523,42.17798,42.95249
gender,Mann,Tatsächliche Arbeitszeit,2011,43.02094,42.64966,43.39223
gender,Mann,Tatsächliche Arbeitszeit,2012,42.58043,42.08576,43.07511
gender,Mann,Tatsächliche Arbeitszeit,2013,42.39891,42.08576,43.07511
gender,Mann,Tatsächliche Arbeitszeit,2014,41.58923,41.19292,41.98554
gender,Mann,Tatsächliche Arbeitszeit,2015,41.71354,41.28946,42.13762
gender,Frau,Tatsächliche Arbeitszeit,1992,34.68821,34.01840,35.35803
gender,Frau,Tatsächliche Arbeitszeit,1993,34.59522,34.17975,35.01068
gender,Frau,Tatsächliche Arbeitszeit,1994,34.04640,33.57036,34.52243
gender,Frau,Tatsächliche Arbeitszeit,1995,33.88454,33.30133,34.46775
gender,Frau,Tatsächliche Arbeitszeit,1996,33.60271,33.21917,33.98625
gender,Frau,Tatsächliche Arbeitszeit,1997,33.90671,33.56100,34.25242
gender,Frau,Tatsächliche Arbeitszeit,1998,33.92420,33.41675,34.43165
gender,Frau,Tatsächliche Arbeitszeit,1999,33.34611,32.87633,33.81588
gender,Frau,Tatsächliche Arbeitszeit,2000,33.38094,33.07691,33.68497
gender,Frau,Tatsächliche Arbeitszeit,2001,32.71152,32.24933,33.17371
gender,Frau,Tatsächliche Arbeitszeit,2002,31.95112,31.56106,32.34119
gender,Frau,Tatsächliche Arbeitszeit,2003,31.78767,31.33909,32.23625
gender,Frau,Tatsächliche Arbeitszeit,2004,32.12955,31.68091,32.57818
gender,Frau,Tatsächliche Arbeitszeit,2005,32.11914,31.55338,32.68490
gender,Frau,Tatsächliche Arbeitszeit,2006,32.39060,32.08238,32.69883
gender,Frau,Tatsächliche Arbeitszeit,2007,32.69078,32.19311,33.18845
gender,Frau,Tatsächliche Arbeitszeit,1992,34.68821,34.01840,35.35803
gender,Frau,Tatsächliche Arbeitszeit,2008,32.63899,32.17148,33.10651
gender,Frau,Tatsächliche Arbeitszeit,2009,32.91334,32.28079,33.54589
gender,Frau,Tatsächliche Arbeitszeit,2010,32.76459,32.11808,33.41109
gender,Frau,Tatsächliche Arbeitszeit,2011,33.24284,32.88327,33.60241
gender,Frau,Tatsächliche Arbeitszeit,2012,32.90600,32.40006,33.41194
gender,Frau,Tatsächliche Arbeitszeit,2013,32.80678,32.33076,33.28279
gender,Frau,Tatsächliche Arbeitszeit,2014,32.65428,32.25250,33.05606
gender,Frau,Tatsächliche Arbeitszeit,2015,33.08713,32.79165,33.38261
gender,Mann,Vertraglich vereinbarte Arbeitszeit,1992,38.62942,38.44788,38.81097
gender,Mann,Vertraglich vereinbarte Arbeitszeit,1993,38.38981,38.32582,38.45380
gender,Mann,Vertraglich vereinbarte Arbeitszeit,1994,38.48127,38.33819,38.62435
gender,Mann,Vertraglich vereinbarte Arbeitszeit,1995,38.15242,37.88246,38.42238
gender,Mann,Vertraglich vereinbarte Arbeitszeit,1996,38.03736,37.93522,38.13950
gender,Mann,Vertraglich vereinbarte Arbeitszeit,1997,38.16648,37.94186,38.39110
gender,Mann,Vertraglich vereinbarte Arbeitszeit,1998,37.81245,37.56995,38.05496
gender,Mann,Vertraglich vereinbarte Arbeitszeit,1999,38.13094,37.91913,38.34276
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2000,38.21748,37.96721,38.46776
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2001,38.21951,38.05601,38.38302
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2002,38.45399,38.29282,38.61516
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2003,37.95716,37.86524,38.04908
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2004,38.10167,37.81287,38.39047
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2005,38.40875,38.25932,38.55817
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2006,38.37696,38.22470,38.52921
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2007,38.54766,38.28845,38.80688
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2008,38.66330,38.45281,38.87378
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2009,38.62877,38.49667,38.76087
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2010,38.53349,38.27586,38.79111
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2011,38.49888,38.22238,38.77539
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2012,38.48779,38.27019,38.70539
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2013,38.46538,38.24120,38.68957
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2014,37.83530,37.60128,38.06932
gender,Mann,Vertraglich vereinbarte Arbeitszeit,2015,38.06509,37.78967,38.34051
gender,Frau,Vertraglich vereinbarte Arbeitszeit,1992,32.93272,32.43580,33.42964
gender,Frau,Vertraglich vereinbarte Arbeitszeit,1993,32.79603,32.32352,33.26854
gender,Frau,Vertraglich vereinbarte Arbeitszeit,1994,32.31558,31.92757,32.70358
gender,Frau,Vertraglich vereinbarte Arbeitszeit,1995,31.81580,31.33164,32.29995
gender,Frau,Vertraglich vereinbarte Arbeitszeit,1996,31.67221,31.15981,32.18460
gender,Frau,Vertraglich vereinbarte Arbeitszeit,1997,31.81496,31.30712,32.32279
gender,Frau,Vertraglich vereinbarte Arbeitszeit,1998,31.46268,30.84115,32.08421
gender,Frau,Vertraglich vereinbarte Arbeitszeit,1999,31.18529,30.49397,31.87662
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2000,31.31939,30.83025,31.80853
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2001,30.49001,29.94761,31.03241
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2002,30.19915,29.81837,30.57993
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2003,29.84940,29.47909,30.21972
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2004,30.50636,30.19960,30.81312
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2005,30.60764,29.97410,31.24118
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2006,30.39876,30.09362,30.70390
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2007,30.43199,30.14748,30.71650
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2008,30.44451,30.06157,30.82745
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2009,30.72630,30.45425,30.99835
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2010,30.59804,30.26993,30.92615
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2011,30.72829,30.33396,31.12262
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2012,30.74310,30.36195,31.12425
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2013,30.84066,30.31161,31.36972
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2014,30.34300,29.84579,30.84021
gender,Frau,Vertraglich vereinbarte Arbeitszeit,2015,30.61213,30.25470,30.96955
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,1992,34.14499,33.72844,34.56154
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,1993,34.31000,33.82490,34.79509
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,1994,34.34233,34.12845,34.55620
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,1995,33.38483,32.97016,33.79950
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,1996,,,
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,1997,34.63614,34.22257,35.04971
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,1998,33.83763,33.45003,34.22523
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,1999,34.19585,33.85791,34.53380
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2000,34.22930,33.98284,34.47577
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2001,34.54256,34.36071,34.72442
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2002,34.20699,34.05066,34.36333
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2003,34.16422,33.85023,34.47821
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2004,34.49017,34.25130,34.72905
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2005,34.85432,34.55303,35.15562
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2006,34.78383,34.54980,35.01786
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2007,34.91131,34.57323,35.24939
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2008,34.53199,34.26489,34.79909
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2009,34.94646,34.78307,35.10985
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2010,34.55779,34.24054,34.87504
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2011,34.70859,34.48023,34.93696
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2012,34.43794,34.11202,34.76385
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2013,34.39987,33.98651,34.81323
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2014,34.00713,33.74511,34.26914
region,Westdeutsche Bundesländer,Gewünschte Arbeitszeit,2015,34.19483,34.00337,34.38629
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,1992,,,
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,1993,37.35218,37.06050,37.64387
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,1994,37.71098,37.37509,38.04686
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,1995,35.92437,35.26553,36.58320
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,1996,,,
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,1997,37.97183,37.34566,38.59800
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,1998,36.36956,35.83347,36.90564
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,1999,37.27417,36.65023,37.89811
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2000,37.09565,36.63765,37.55366
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2001,37.13287,36.69667,37.56907
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2002,37.14328,36.72686,37.55971
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2003,37.23170,36.89090,37.57250
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2004,37.32595,36.69687,37.95503
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2005,37.14449,36.60508,37.68390
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2006,37.71140,37.33754,38.08527
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2007,37.70459,37.24167,38.16750
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2008,37.54919,37.05549,38.04288
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2009,37.31095,36.59177,38.03012
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2010,36.73087,36.43506,37.02667
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2011,36.97952,36.34728,37.61176
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2012,36.27335,35.74832,36.79838
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2013,36.17557,35.66609,36.68505
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2014,35.87015,35.14300,36.59729
region,Ostdeutsche Bundesländer,Gewünschte Arbeitszeit,2015,35.86521,35.28868,36.44174
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,1992,38.45384,37.85630,39.05138
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,1993,38.15766,37.98585,38.32947
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,1994,37.95705,37.66647,38.24763
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,1995,37.96644,37.40424,38.52863
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,1996,37.88578,37.53858,38.23299
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,1997,38.26618,37.96251,38.56985
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,1998,38.22545,37.86685,38.58405
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,1999,37.95342,37.61621,38.29063
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2000,38.14047,37.95959,38.32135
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2001,37.78713,37.50376,38.07049
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2002,37.49571,37.24215,37.74928
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2003,37.13397,36.79441,37.47353
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2004,37.39763,36.99002,37.80524
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2005,37.35487,37.01902,37.69073
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2006,37.61117,37.23189,37.99045
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2007,37.99794,37.62069,38.37518
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2008,37.75840,37.32086,38.19594
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2009,37.75988,37.23909,38.28067
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2010,37.42937,36.84129,38.01744
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2011,37.86473,37.56700,38.16246
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2012,37.61325,37.09682,38.12969
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2013,37.50365,37.09859,37.90871
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2014,36.99361,36.56218,37.42504
region,Westdeutsche Bundesländer,Tatsächliche Arbeitszeit,2015,37.32817,37.07954,37.57681
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,1992,42.83479,42.57402,43.09556
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,1993,43.09548,42.42943,43.76154
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,1994,42.91332,42.57940,43.24724
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,1995,42.94420,42.44975,43.43866
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,1996,42.76517,42.29234,43.23801
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,1997,42.99804,42.45545,43.54063
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,1998,42.26399,41.70277,42.82521
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,1999,41.73734,41.09521,42.37947
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2000,41.47008,41.04413,41.89602
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2001,41.23611,40.69065,41.78157
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2002,41.03881,40.54120,41.53641
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2003,40.46259,39.98131,40.94387
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2004,39.67092,38.99616,40.34568
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2005,40.81386,40.28639,41.34133
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2006,40.73438,39.85075,41.61801
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2007,40.83252,40.19295,41.47210
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2008,40.55378,39.76545,41.34211
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2009,40.69715,39.87928,41.51502
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2010,40.14254,39.36336,40.92172
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2011,40.79936,40.10807,41.49064
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2012,39.86030,39.36079,40.35981
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2013,39.57175,38.95889,40.18461
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2014,39.15111,38.44912,39.85310
region,Ostdeutsche Bundesländer,Tatsächliche Arbeitszeit,2015,38.87452,38.40372,39.34531
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1992,35.33942,34.96206,35.71678
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1993,35.16939,34.90691,35.43187
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1994,35.04329,34.84615,35.24043
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1995,34.72580,34.28976,35.16185
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1996,34.57394,34.35106,34.79683
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1997,34.78349,34.57787,34.98911
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1998,34.50988,34.08289,34.93687
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1999,34.47347,34.18170,34.76524
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2000,34.63657,34.31922,34.95392
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2001,34.25521,33.96172,34.54870
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2002,34.22799,34.00142,34.45457
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2003,33.79873,33.58703,34.01043
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2004,34.27664,34.03502,34.51827
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2005,34.46956,34.24181,34.69731
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2006,34.34475,34.20876,34.48074
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2007,34.39763,34.09762,34.69765
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2008,34.46145,34.02646,34.89644
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2009,34.53030,34.16138,34.89922
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2010,34.41950,34.07515,34.76385
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2011,34.29601,33.97555,34.61646
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2012,34.42951,34.19313,34.66588
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2013,34.55635,34.35183,34.76087
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2014,33.96291,33.69559,34.23023
region,Westdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2015,34.24270,33.95316,34.53224
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1992,39.14014,39.03989,39.24039
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1993,38.88813,38.69179,39.08446
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1994,38.66515,38.48376,38.84654
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1995,38.12283,37.92105,38.32461
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1996,38.29282,38.14533,38.44031
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1997,38.10020,37.78270,38.41770
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1998,37.45160,37.18520,37.71800
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,1999,37.59606,37.10306,38.08906
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2000,37.52577,37.20188,37.84966
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2001,36.86269,36.41858,37.30679
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2002,37.17670,36.88213,37.47126
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2003,36.51031,36.28894,36.73169
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2004,36.14954,35.90811,36.39097
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2005,36.63305,36.25435,37.01174
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2006,36.69383,36.39702,36.99064
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2007,36.77419,36.22403,37.32436
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2008,37.01705,36.57398,37.46013
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2009,36.70470,36.28694,37.12245
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2010,36.64820,36.25340,37.04300
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2011,37.05210,36.44568,37.65852
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2012,36.55035,35.98263,37.11807
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2013,36.26984,35.90546,36.63422
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2014,35.87059,35.31203,36.42914
region,Ostdeutsche Bundesländer,Vertraglich vereinbarte Arbeitszeit,2015,35.70777,35.35439,36.06115
