facet,facet_value,year,value,confidence95_lower,confidence95_upper
Einkommensposition,1. Quintil (unterste Einkommen),1999,0.3487985,0.3377926,0.3598044
Einkommensposition,1. Quintil (unterste Einkommen),2000,0.3687598,0.3628392,0.3746803
Einkommensposition,1. Quintil (unterste Einkommen),2001,0.3805468,0.3706228,0.3904709
Einkommensposition,1. Quintil (unterste Einkommen),2002,0.3759669,0.3628896,0.3890442
Einkommensposition,1. Quintil (unterste Einkommen),2003,0.3797724,0.3638272,0.3957176
Einkommensposition,1. Quintil (unterste Einkommen),2004,0.3839758,0.3663569,0.4015947
Einkommensposition,1. Quintil (unterste Einkommen),2005,0.3997031,0.3846179,0.4147883
Einkommensposition,1. Quintil (unterste Einkommen),2006,0.4017585,0.3909338,0.4125832
Einkommensposition,1. Quintil (unterste Einkommen),2007,0.3913669,0.3841359,0.3985978
Einkommensposition,1. Quintil (unterste Einkommen),2008,0.3974973,0.3889763,0.4060183
Einkommensposition,1. Quintil (unterste Einkommen),2009,0.3963683,0.3861162,0.4066205
Einkommensposition,1. Quintil (unterste Einkommen),2010,0.3869583,0.3756876,0.3982290
Einkommensposition,1. Quintil (unterste Einkommen),2011,0.3945438,0.3868038,0.4022838
Einkommensposition,1. Quintil (unterste Einkommen),2012,0.3908409,0.3821406,0.3995412
Einkommensposition,1. Quintil (unterste Einkommen),2013,0.3614813,0.3532150,0.3697476
Einkommensposition,1. Quintil (unterste Einkommen),2014,0.3727678,0.3621886,0.3833469
Einkommensposition,2. Quintil,1991,0.2069853,0.1992031,0.2147675
Einkommensposition,2. Quintil,1992,0.2196522,0.2113126,0.2279918
Einkommensposition,2. Quintil,1993,0.2277865,0.2198780,0.2356950
Einkommensposition,2. Quintil,1994,0.2456494,0.2400402,0.2512586
Einkommensposition,2. Quintil,1995,0.2514139,0.2453461,0.2574817
Einkommensposition,2. Quintil,1996,0.2517297,0.2479469,0.2555125
Einkommensposition,2. Quintil,1997,0.2534523,0.2467939,0.2601106
Einkommensposition,2. Quintil,1998,0.2630332,0.2559301,0.2701363
Einkommensposition,2. Quintil,1999,0.2481500,0.2396680,0.2566320
Einkommensposition,2. Quintil,2000,0.2567760,0.2518102,0.2617419
Einkommensposition,2. Quintil,2001,0.2577110,0.2546290,0.2607929
Einkommensposition,2. Quintil,2002,0.2563628,0.2517879,0.2609376
Einkommensposition,2. Quintil,2003,0.2684757,0.2634171,0.2735343
Einkommensposition,2. Quintil,2004,0.2669885,0.2588938,0.2750832
Einkommensposition,2. Quintil,2005,0.2684678,0.2631414,0.2737943
Einkommensposition,2. Quintil,2006,0.2753652,0.2617026,0.2890278
Einkommensposition,2. Quintil,2007,0.2798757,0.2697763,0.2899750
Einkommensposition,2. Quintil,2008,0.2759648,0.2707319,0.2811977
Einkommensposition,2. Quintil,2009,0.2788797,0.2741309,0.2836285
Einkommensposition,2. Quintil,2010,0.2768367,0.2672747,0.2863988
Einkommensposition,2. Quintil,2011,0.2793513,0.2755312,0.2831714
Einkommensposition,2. Quintil,2012,0.2729682,0.2691350,0.2768015
Einkommensposition,2. Quintil,2013,0.2513913,0.2417079,0.2610747
Einkommensposition,2. Quintil,2014,0.2581221,0.2493478,0.2668963
Einkommensposition,3. Quintil,1991,0.1800006,0.1737597,0.1862415
Einkommensposition,3. Quintil,1992,0.1909669,0.1844612,0.1974725
Einkommensposition,3. Quintil,1993,0.1944217,0.1872258,0.2016175
Einkommensposition,3. Quintil,1994,0.2101870,0.2011909,0.2191831
Einkommensposition,3. Quintil,1995,0.2154348,0.2059763,0.2248933
Einkommensposition,3. Quintil,1996,0.2233894,0.2146777,0.2321011
Einkommensposition,3. Quintil,1997,0.2310653,0.2240624,0.2380681
Einkommensposition,3. Quintil,1998,0.2309425,0.2207025,0.2411826
Einkommensposition,3. Quintil,1999,0.2213128,0.2117108,0.2309148
Einkommensposition,3. Quintil,2000,0.2246119,0.2187079,0.2305159
Einkommensposition,3. Quintil,2001,0.2262895,0.2209817,0.2315972
Einkommensposition,3. Quintil,2002,0.2263802,0.2213065,0.2314540
Einkommensposition,3. Quintil,2003,0.2268727,0.2216579,0.2320875
Einkommensposition,3. Quintil,2004,0.2333316,0.2300656,0.2365976
Einkommensposition,3. Quintil,2005,0.2385678,0.2331655,0.2439700
Einkommensposition,3. Quintil,2006,0.2343583,0.2295338,0.2391829
Einkommensposition,3. Quintil,2007,0.2366889,0.2304786,0.2428991
Einkommensposition,3. Quintil,2008,0.2338254,0.2265453,0.2411055
Einkommensposition,3. Quintil,2009,0.2307939,0.2218311,0.2397566
Einkommensposition,3. Quintil,2010,0.2332209,0.2286950,0.2377469
Einkommensposition,3. Quintil,2011,0.2341178,0.2285230,0.2397127
Einkommensposition,3. Quintil,2012,0.2366189,0.2302045,0.2430333
Einkommensposition,3. Quintil,2013,0.2184322,0.2114211,0.2254433
Einkommensposition,3. Quintil,2014,0.2296603,0.2223378,0.2369829
Einkommensposition,4. Quintil,1991,0.1658730,0.1627318,0.1690142
Einkommensposition,4. Quintil,1992,0.1749711,0.1684413,0.1815009
Einkommensposition,4. Quintil,1993,0.1788898,0.1714016,0.1863780
Einkommensposition,4. Quintil,1994,0.1821062,0.1772673,0.1869451
Einkommensposition,4. Quintil,1995,0.1912045,0.1832356,0.1991735
Einkommensposition,4. Quintil,1996,0.1911005,0.1834094,0.1987916
Einkommensposition,4. Quintil,1997,0.1954096,0.1882790,0.2025402
Einkommensposition,4. Quintil,1998,0.1951519,0.1874932,0.2028105
Einkommensposition,4. Quintil,1999,0.1933534,0.1894335,0.1972734
Einkommensposition,4. Quintil,2000,0.2012621,0.1973800,0.2051442
Einkommensposition,4. Quintil,2001,0.2052786,0.1994821,0.2110751
Einkommensposition,4. Quintil,2002,0.2030732,0.1965768,0.2095696
Einkommensposition,4. Quintil,2003,0.2086153,0.2021353,0.2150954
Einkommensposition,4. Quintil,2004,0.2091591,0.2052504,0.2130678
Einkommensposition,4. Quintil,2005,0.2167294,0.2110904,0.2223684
Einkommensposition,4. Quintil,2006,0.2052771,0.2012666,0.2092877
Einkommensposition,4. Quintil,2007,0.2101641,0.2045930,0.2157351
Einkommensposition,4. Quintil,2008,0.2160810,0.2083892,0.2237728
Einkommensposition,4. Quintil,2009,0.2094748,0.2015596,0.2173899
Einkommensposition,4. Quintil,2010,0.2090784,0.2033533,0.2148035
Einkommensposition,4. Quintil,2011,0.2065406,0.2003838,0.2126973
Einkommensposition,4. Quintil,2012,0.2105831,0.2034616,0.2177046
Einkommensposition,4. Quintil,2013,0.1986898,0.1948344,0.2025453
Einkommensposition,4. Quintil,2014,0.2025111,0.1996256,0.2053967
Einkommensposition,5. Quintil (oberste Einkommen),1991,0.1457676,0.1416251,0.1499100
Einkommensposition,5. Quintil (oberste Einkommen),1992,0.1515509,0.1426479,0.1604538
Einkommensposition,5. Quintil (oberste Einkommen),1993,0.1547195,0.1506256,0.1588134
Einkommensposition,5. Quintil (oberste Einkommen),1994,0.1603243,0.1509253,0.1697232
Einkommensposition,5. Quintil (oberste Einkommen),1995,0.1601330,0.1506042,0.1696619
Einkommensposition,5. Quintil (oberste Einkommen),1996,0.1662174,0.1608048,0.1716299
Einkommensposition,5. Quintil (oberste Einkommen),1997,0.1720990,0.1650260,0.1791720
Einkommensposition,5. Quintil (oberste Einkommen),1998,0.1760015,0.1684023,0.1836006
Einkommensposition,5. Quintil (oberste Einkommen),1999,0.1712604,0.1640920,0.1784288
Einkommensposition,5. Quintil (oberste Einkommen),2000,0.1753332,0.1696049,0.1810614
Einkommensposition,5. Quintil (oberste Einkommen),2001,0.1692223,0.1639559,0.1744888
Einkommensposition,5. Quintil (oberste Einkommen),2002,0.1759003,0.1677066,0.1840940
Einkommensposition,5. Quintil (oberste Einkommen),2003,0.1826380,0.1768744,0.1884016
Einkommensposition,5. Quintil (oberste Einkommen),2004,0.1813899,0.1750162,0.1877636
Einkommensposition,5. Quintil (oberste Einkommen),2005,0.1747688,0.1688156,0.1807220
Einkommensposition,5. Quintil (oberste Einkommen),2006,0.1824693,0.1783309,0.1866078
Einkommensposition,5. Quintil (oberste Einkommen),2007,0.1780335,0.1718766,0.1841904
Einkommensposition,5. Quintil (oberste Einkommen),2008,0.1772101,0.1722404,0.1821798
Einkommensposition,5. Quintil (oberste Einkommen),2009,0.1782440,0.1715275,0.1849605
Einkommensposition,5. Quintil (oberste Einkommen),2010,0.1690079,0.1635903,0.1744255
Einkommensposition,5. Quintil (oberste Einkommen),2011,0.1739856,0.1662052,0.1817661
Einkommensposition,5. Quintil (oberste Einkommen),2012,0.1716490,0.1649432,0.1783548
Einkommensposition,5. Quintil (oberste Einkommen),2013,0.1656896,0.1584051,0.1729742
Einkommensposition,5. Quintil (oberste Einkommen),2014,0.1675983,0.1632495,0.1719472
Haushaltstyp,1 Personen HH unter 35 Jahre,1991,0.2544721,0.2382616,0.2706827
Haushaltstyp,1 Personen HH unter 35 Jahre,1992,0.2876227,0.2632044,0.3120410
Haushaltstyp,1 Personen HH unter 35 Jahre,1993,0.3003502,0.2922173,0.3084831
Haushaltstyp,1 Personen HH unter 35 Jahre,1994,0.3191915,0.3046119,0.3337711
Haushaltstyp,1 Personen HH unter 35 Jahre,1995,0.3152561,0.3026811,0.3278312
Haushaltstyp,1 Personen HH unter 35 Jahre,1996,0.3208899,0.3027805,0.3389994
Haushaltstyp,1 Personen HH unter 35 Jahre,1997,0.3305715,0.3060654,0.3550776
Haushaltstyp,1 Personen HH unter 35 Jahre,1998,0.3487117,0.3253065,0.3721168
Haushaltstyp,1 Personen HH unter 35 Jahre,1999,0.3301200,0.3177787,0.3424613
Haushaltstyp,1 Personen HH unter 35 Jahre,2000,0.3319286,0.3114337,0.3524236
Haushaltstyp,1 Personen HH unter 35 Jahre,2001,0.3193511,0.2976680,0.3410343
Haushaltstyp,1 Personen HH unter 35 Jahre,2002,0.3310889,0.3179423,0.3442355
Haushaltstyp,1 Personen HH unter 35 Jahre,2003,0.3509216,0.3318165,0.3700267
Haushaltstyp,1 Personen HH unter 35 Jahre,2004,0.3551671,0.3346563,0.3756779
Haushaltstyp,1 Personen HH unter 35 Jahre,2005,0.3561157,0.3384500,0.3737813
Haushaltstyp,1 Personen HH unter 35 Jahre,2006,0.3364115,0.3215929,0.3512302
Haushaltstyp,1 Personen HH unter 35 Jahre,2007,0.3694446,0.3566603,0.3822289
Haushaltstyp,1 Personen HH unter 35 Jahre,2008,0.3500609,0.3327377,0.3673841
Haushaltstyp,1 Personen HH unter 35 Jahre,2009,0.3555373,0.3406332,0.3704413
Haushaltstyp,1 Personen HH unter 35 Jahre,2010,0.3485012,0.3214838,0.3755186
Haushaltstyp,1 Personen HH unter 35 Jahre,2011,0.3564507,0.3354355,0.3774659
Haushaltstyp,1 Personen HH unter 35 Jahre,2012,0.3637634,0.3514398,0.3760870
Haushaltstyp,1 Personen HH unter 35 Jahre,2013,0.3414687,0.3309705,0.3519669
Haushaltstyp,1 Personen HH unter 35 Jahre,2014,0.3509558,0.3221036,0.3798080
Haushaltstyp,1 Personen HH 35-59 Jahre,1991,0.2477935,0.2420111,0.2535759
Haushaltstyp,1 Personen HH 35-59 Jahre,1992,0.2596724,0.2403468,0.2789981
Haushaltstyp,1 Personen HH 35-59 Jahre,1993,0.2669906,0.2517958,0.2821854
Haushaltstyp,1 Personen HH 35-59 Jahre,1994,0.2894700,0.2708678,0.3080721
Haushaltstyp,1 Personen HH 35-59 Jahre,1995,0.2845478,0.2737498,0.2953459
Haushaltstyp,1 Personen HH 35-59 Jahre,1996,0.2855439,0.2720446,0.2990433
Haushaltstyp,1 Personen HH 35-59 Jahre,1997,0.2943185,0.2780592,0.3105777
Haushaltstyp,1 Personen HH 35-59 Jahre,1998,0.3026222,0.2865665,0.3186778
Haushaltstyp,1 Personen HH 35-59 Jahre,1999,0.2720649,0.2601229,0.2840069
Haushaltstyp,1 Personen HH 35-59 Jahre,2000,0.3009137,0.2900626,0.3117648
Haushaltstyp,1 Personen HH 35-59 Jahre,2001,0.2910001,0.2780862,0.3039141
Haushaltstyp,1 Personen HH 35-59 Jahre,2002,0.2913682,0.2775225,0.3052138
Haushaltstyp,1 Personen HH 35-59 Jahre,2003,0.3131438,0.2976825,0.3286052
Haushaltstyp,1 Personen HH 35-59 Jahre,2004,0.3046281,0.2841702,0.3250859
Haushaltstyp,1 Personen HH 35-59 Jahre,2005,0.3026113,0.2894353,0.3157873
Haushaltstyp,1 Personen HH 35-59 Jahre,2006,0.3070376,0.2969953,0.3170799
Haushaltstyp,1 Personen HH 35-59 Jahre,2007,0.3036717,0.2881414,0.3192020
Haushaltstyp,1 Personen HH 35-59 Jahre,2008,0.3143565,0.2968127,0.3319002
Haushaltstyp,1 Personen HH 35-59 Jahre,2009,0.3104235,0.2984103,0.3224367
Haushaltstyp,1 Personen HH 35-59 Jahre,2010,0.3159750,0.2997906,0.3321595
Haushaltstyp,1 Personen HH 35-59 Jahre,2011,0.3278350,0.3143650,0.3413050
Haushaltstyp,1 Personen HH 35-59 Jahre,2012,0.3154310,0.2988722,0.3319898
Haushaltstyp,1 Personen HH 35-59 Jahre,2013,0.2871418,0.2748159,0.2994677
Haushaltstyp,1 Personen HH 35-59 Jahre,2014,0.3023403,0.2891206,0.3155599
Haushaltstyp,1 Personen HH 60 Jahre und älter,1991,0.3134776,0.3012867,0.3256685
Haushaltstyp,1 Personen HH 60 Jahre und älter,1992,0.3261445,0.3144168,0.3378723
Haushaltstyp,1 Personen HH 60 Jahre und älter,1993,0.3269019,0.3169943,0.3368096
Haushaltstyp,1 Personen HH 60 Jahre und älter,1994,0.3355226,0.3221454,0.3488998
Haushaltstyp,1 Personen HH 60 Jahre und älter,1995,0.3403294,0.3240975,0.3565614
Haushaltstyp,1 Personen HH 60 Jahre und älter,1996,0.3511419,0.3258635,0.3764203
Haushaltstyp,1 Personen HH 60 Jahre und älter,1997,0.3639027,0.3449559,0.3828496
Haushaltstyp,1 Personen HH 60 Jahre und älter,1998,0.3581512,0.3410159,0.3752865
Haushaltstyp,1 Personen HH 60 Jahre und älter,1999,0.3418061,0.3329757,0.3506365
Haushaltstyp,1 Personen HH 60 Jahre und älter,2000,0.3588824,0.3481332,0.3696315
Haushaltstyp,1 Personen HH 60 Jahre und älter,2001,0.3569075,0.3427397,0.3710754
Haushaltstyp,1 Personen HH 60 Jahre und älter,2002,0.3579694,0.3429844,0.3729543
Haushaltstyp,1 Personen HH 60 Jahre und älter,2003,0.3646966,0.3529371,0.3764561
Haushaltstyp,1 Personen HH 60 Jahre und älter,2004,0.3631463,0.3505198,0.3757728
Haushaltstyp,1 Personen HH 60 Jahre und älter,2005,0.3744511,0.3604553,0.3884469
Haushaltstyp,1 Personen HH 60 Jahre und älter,2006,0.3691727,0.3495866,0.3887588
Haushaltstyp,1 Personen HH 60 Jahre und älter,2007,0.3762539,0.3632702,0.3892376
Haushaltstyp,1 Personen HH 60 Jahre und älter,2008,0.3938704,0.3786114,0.4091293
Haushaltstyp,1 Personen HH 60 Jahre und älter,2009,0.3882015,0.3738340,0.4025690
Haushaltstyp,1 Personen HH 60 Jahre und älter,2010,0.3955781,0.3825041,0.4086520
Haushaltstyp,1 Personen HH 60 Jahre und älter,2011,0.3923254,0.3831178,0.4015331
Haushaltstyp,1 Personen HH 60 Jahre und älter,2012,0.3866164,0.3791754,0.3940575
Haushaltstyp,1 Personen HH 60 Jahre und älter,2013,0.3407989,0.3276284,0.3539695
Haushaltstyp,1 Personen HH 60 Jahre und älter,2014,0.3494698,0.3388075,0.3601321
Haushaltstyp,1 Personen HH 60 Jahre und älter,1991,0.3134776,0.3012867,0.3256685
Haushaltstyp,Paar ohne Kinder,1991,0.1881202,0.1848152,0.1914251
Haushaltstyp,Paar ohne Kinder,1992,0.1956366,0.1911376,0.2001356
Haushaltstyp,Paar ohne Kinder,1993,0.2004560,0.1940806,0.2068313
Haushaltstyp,Paar ohne Kinder,1994,0.2124951,0.2046847,0.2203055
Haushaltstyp,Paar ohne Kinder,1995,0.2182797,0.2104803,0.2260792
Haushaltstyp,Paar ohne Kinder,1996,0.2252646,0.2204196,0.2301095
Haushaltstyp,Paar ohne Kinder,1997,0.2292270,0.2235930,0.2348611
Haushaltstyp,Paar ohne Kinder,1998,0.2268023,0.2215074,0.2320973
Haushaltstyp,Paar ohne Kinder,1999,0.2269405,0.2240860,0.2297951
Haushaltstyp,Paar ohne Kinder,2000,0.2366716,0.2328386,0.2405046
Haushaltstyp,Paar ohne Kinder,2001,0.2437219,0.2365868,0.2508570
Haushaltstyp,Paar ohne Kinder,2002,0.2454448,0.2358830,0.2550066
Haushaltstyp,Paar ohne Kinder,2003,0.2425956,0.2368594,0.2483318
Haushaltstyp,Paar ohne Kinder,2004,0.2446449,0.2358137,0.2534762
Haushaltstyp,Paar ohne Kinder,2005,0.2490124,0.2428238,0.2552010
Haushaltstyp,Paar ohne Kinder,2006,0.2563277,0.2502102,0.2624451
Haushaltstyp,Paar ohne Kinder,2007,0.2578774,0.2508369,0.2649179
Haushaltstyp,Paar ohne Kinder,2008,0.2553875,0.2509643,0.2598106
Haushaltstyp,Paar ohne Kinder,2009,0.2547890,0.2483895,0.2611885
Haushaltstyp,Paar ohne Kinder,2010,0.2481636,0.2403682,0.2559590
Haushaltstyp,Paar ohne Kinder,2011,0.2478826,0.2420506,0.2537146
Haushaltstyp,Paar ohne Kinder,2012,0.2524625,0.2446462,0.2602788
Haushaltstyp,Paar ohne Kinder,2013,0.2329739,0.2266706,0.2392773
Haushaltstyp,Paar ohne Kinder,2014,0.2375012,0.2287927,0.2462097
Haushaltstyp,Paar ohne Kinder,1991,0.1881202,0.1848152,0.1914251
Haushaltstyp,Alleinerziehend 1 Kind,1991,0.2785092,0.2554526,0.3015658
Haushaltstyp,Alleinerziehend 1 Kind,1992,0.2974752,0.2666757,0.3282747
Haushaltstyp,Alleinerziehend 1 Kind,1993,0.3013282,0.2821381,0.3205183
Haushaltstyp,Alleinerziehend 1 Kind,1994,0.3109811,0.2762815,0.3456808
Haushaltstyp,Alleinerziehend 1 Kind,1995,0.3161567,0.2938810,0.3384324
Haushaltstyp,Alleinerziehend 1 Kind,1996,0.3278028,0.2927289,0.3628767
Haushaltstyp,Alleinerziehend 1 Kind,1997,0.3149814,0.2971723,0.3327905
Haushaltstyp,Alleinerziehend 1 Kind,1998,0.3283171,0.3050300,0.3516042
Haushaltstyp,Alleinerziehend 1 Kind,1999,0.3217053,0.2984304,0.3449802
Haushaltstyp,Alleinerziehend 1 Kind,2000,0.3383547,0.3209127,0.3557966
Haushaltstyp,Alleinerziehend 1 Kind,2001,0.3338877,0.3081451,0.3596304
Haushaltstyp,Alleinerziehend 1 Kind,2002,0.3354390,0.3083867,0.3624914
Haushaltstyp,Alleinerziehend 1 Kind,2003,0.3281565,0.3111623,0.3451507
Haushaltstyp,Alleinerziehend 1 Kind,2004,0.3416681,0.3150577,0.3682786
Haushaltstyp,Alleinerziehend 1 Kind,2005,0.3382360,0.3113536,0.3651184
Haushaltstyp,Alleinerziehend 1 Kind,2006,0.3503615,0.3307395,0.3699834
Haushaltstyp,Alleinerziehend 1 Kind,2007,0.3355240,0.3182115,0.3528364
Haushaltstyp,Alleinerziehend 1 Kind,2008,0.3288563,0.3079844,0.3497282
Haushaltstyp,Alleinerziehend 1 Kind,2009,0.3323289,0.3076335,0.3570242
Haushaltstyp,Alleinerziehend 1 Kind,2010,0.3337329,0.3193885,0.3480772
Haushaltstyp,Alleinerziehend 1 Kind,2011,0.3301362,0.3175400,0.3427324
Haushaltstyp,Alleinerziehend 1 Kind,2012,0.3230843,0.3095692,0.3365994
Haushaltstyp,Alleinerziehend 1 Kind,2013,0.3049886,0.2937387,0.3162385
Haushaltstyp,Alleinerziehend 1 Kind,2014,0.3063516,0.2925376,0.3201657
Haushaltstyp,Alleinerziehend 2+ Kinder,1991,0.3449830,0.2869575,0.4030084
Haushaltstyp,Alleinerziehend 2+ Kinder,1992,0.3393042,0.2944352,0.3841733
Haushaltstyp,Alleinerziehend 2+ Kinder,1993,0.2924746,0.2671293,0.3178199
Haushaltstyp,Alleinerziehend 2+ Kinder,1994,0.3271533,0.2799300,0.3743767
Haushaltstyp,Alleinerziehend 2+ Kinder,1995,0.3078224,0.2808139,0.3348310
Haushaltstyp,Alleinerziehend 2+ Kinder,1996,0.3472836,0.3240795,0.3704877
Haushaltstyp,Alleinerziehend 2+ Kinder,1997,0.3480671,0.3158533,0.3802809
Haushaltstyp,Alleinerziehend 2+ Kinder,1998,0.3597409,0.3228375,0.3966442
Haushaltstyp,Alleinerziehend 2+ Kinder,1999,0.3259868,0.3106780,0.3412956
Haushaltstyp,Alleinerziehend 2+ Kinder,2000,0.3360751,0.3089793,0.3631709
Haushaltstyp,Alleinerziehend 2+ Kinder,2001,0.3427901,0.3179170,0.3676632
Haushaltstyp,Alleinerziehend 2+ Kinder,2002,0.3477925,0.3255736,0.3700114
Haushaltstyp,Alleinerziehend 2+ Kinder,2003,0.3371683,0.3166478,0.3576888
Haushaltstyp,Alleinerziehend 2+ Kinder,2004,0.3518178,0.3167834,0.3868523
Haushaltstyp,Alleinerziehend 2+ Kinder,2005,0.3612669,0.3331903,0.3893435
Haushaltstyp,Alleinerziehend 2+ Kinder,2006,0.3531677,0.3332514,0.3730840
Haushaltstyp,Alleinerziehend 2+ Kinder,2007,0.3263758,0.3095963,0.3431554
Haushaltstyp,Alleinerziehend 2+ Kinder,2008,0.3253906,0.3168525,0.3339288
Haushaltstyp,Alleinerziehend 2+ Kinder,2009,0.3394826,0.3182347,0.3607304
Haushaltstyp,Alleinerziehend 2+ Kinder,2010,0.3103136,0.2954745,0.3251527
Haushaltstyp,Alleinerziehend 2+ Kinder,2011,0.3106934,0.2921373,0.3292495
Haushaltstyp,Alleinerziehend 2+ Kinder,2012,0.3373352,0.3261354,0.3485351
Haushaltstyp,Alleinerziehend 2+ Kinder,2013,0.3075664,0.2976710,0.3174618
Haushaltstyp,Alleinerziehend 2+ Kinder,2014,0.3125961,0.2978113,0.3273808
Haushaltstyp,Paar 1 Kind,1991,0.1694198,0.1653463,0.1734934
Haushaltstyp,Paar 1 Kind,1992,0.1836017,0.1762761,0.1909272
Haushaltstyp,Paar 1 Kind,1993,0.1948648,0.1889102,0.2008194
Haushaltstyp,Paar 1 Kind,1994,0.2008478,0.1906802,0.2110153
Haushaltstyp,Paar 1 Kind,1995,0.2049729,0.2006467,0.2092991
Haushaltstyp,Paar 1 Kind,1996,0.2132701,0.2060572,0.2204831
Haushaltstyp,Paar 1 Kind,1997,0.2251969,0.2190667,0.2313271
Haushaltstyp,Paar 1 Kind,1998,0.2241280,0.2136052,0.2346508
Haushaltstyp,Paar 1 Kind,1999,0.2098310,0.2019586,0.2177035
Haushaltstyp,Paar 1 Kind,2000,0.2244534,0.2166883,0.2322186
Haushaltstyp,Paar 1 Kind,2001,0.2270756,0.2209004,0.2332507
Haushaltstyp,Paar 1 Kind,2002,0.2202795,0.2165786,0.2239804
Haushaltstyp,Paar 1 Kind,2003,0.2359702,0.2267335,0.2452068
Haushaltstyp,Paar 1 Kind,2004,0.2328919,0.2249055,0.2408782
Haushaltstyp,Paar 1 Kind,2005,0.2533998,0.2386847,0.2681149
Haushaltstyp,Paar 1 Kind,2006,0.2588277,0.2492148,0.2684406
Haushaltstyp,Paar 1 Kind,2007,0.2431629,0.2271241,0.2592017
Haushaltstyp,Paar 1 Kind,2008,0.2429874,0.2289588,0.2570159
Haushaltstyp,Paar 1 Kind,2009,0.2396340,0.2227109,0.2565572
Haushaltstyp,Paar 1 Kind,2010,0.2307825,0.2265022,0.2350627
Haushaltstyp,Paar 1 Kind,2011,0.2437938,0.2317676,0.2558201
Haushaltstyp,Paar 1 Kind,2012,0.2311814,0.2208699,0.2414929
Haushaltstyp,Paar 1 Kind,2013,0.2161997,0.2067055,0.2256938
Haushaltstyp,Paar 1 Kind,2014,0.2291431,0.2216617,0.2366245
Haushaltstyp,Paar 2 Kinder,1991,0.1704702,0.1614164,0.1795241
Haushaltstyp,Paar 2 Kinder,1992,0.1760767,0.1690329,0.1831205
Haushaltstyp,Paar 2 Kinder,1993,0.1846766,0.1717705,0.1975827
Haushaltstyp,Paar 2 Kinder,1994,0.2061477,0.1967198,0.2155756
Haushaltstyp,Paar 2 Kinder,1995,0.2192825,0.2081568,0.2304081
Haushaltstyp,Paar 2 Kinder,1996,0.2256371,0.2132178,0.2380564
Haushaltstyp,Paar 2 Kinder,1997,0.2262331,0.2151164,0.2373498
Haushaltstyp,Paar 2 Kinder,1998,0.2489094,0.2290734,0.2687455
Haushaltstyp,Paar 2 Kinder,1999,0.2295034,0.2123843,0.2466225
Haushaltstyp,Paar 2 Kinder,2000,0.2357942,0.2238093,0.2477792
Haushaltstyp,Paar 2 Kinder,2001,0.2393910,0.2200521,0.2587299
Haushaltstyp,Paar 2 Kinder,2002,0.2342192,0.2234686,0.2449697
Haushaltstyp,Paar 2 Kinder,2003,0.2476747,0.2309543,0.2643950
Haushaltstyp,Paar 2 Kinder,2004,0.2434717,0.2268232,0.2601202
Haushaltstyp,Paar 2 Kinder,2005,0.2434508,0.2281103,0.2587914
Haushaltstyp,Paar 2 Kinder,2006,0.2410710,0.2282458,0.2538961
Haushaltstyp,Paar 2 Kinder,2007,0.2376149,0.2294667,0.2457631
Haushaltstyp,Paar 2 Kinder,2008,0.2390747,0.2279814,0.2501679
Haushaltstyp,Paar 2 Kinder,2009,0.2374003,0.2235633,0.2512373
Haushaltstyp,Paar 2 Kinder,2010,0.2379066,0.2311871,0.2446261
Haushaltstyp,Paar 2 Kinder,2011,0.2468038,0.2383595,0.2552481
