region,year,gender,at_age,value
Ostdeutsche Bundesländer,1983,Frau,65,15.34
Ostdeutsche Bundesländer,1984,Frau,0,75.47
Ostdeutsche Bundesländer,1984,Frau,65,15.43
Ostdeutsche Bundesländer,1985,Frau,0,75.45
Ostdeutsche Bundesländer,1985,Frau,65,15.3
Ostdeutsche Bundesländer,1986,Frau,0,75.5
Ostdeutsche Bundesländer,1986,Frau,65,15.27
Ostdeutsche Bundesländer,1987,Frau,0,75.96
Ostdeutsche Bundesländer,1987,Frau,65,15.59
Ostdeutsche Bundesländer,1988,Frau,0,76.02
Ostdeutsche Bundesländer,1988,Frau,65,15.65
Ostdeutsche Bundesländer,1989,Frau,0,76.42
Ostdeutsche Bundesländer,1989,Frau,65,15.91
Ostdeutsche Bundesländer,1990,Frau,0,76.26
Ostdeutsche Bundesländer,1990,Frau,65,16.05
Ostdeutsche Bundesländer,1991,Frau,0,76.64
Ostdeutsche Bundesländer,1991,Frau,65,16.26
Ostdeutsche Bundesländer,1992,Frau,0,77.28
Ostdeutsche Bundesländer,1992,Frau,65,16.81
Ostdeutsche Bundesländer,1993,Frau,0,77.84
Ostdeutsche Bundesländer,1993,Frau,65,17.15
Ostdeutsche Bundesländer,1994,Frau,0,78.19
Ostdeutsche Bundesländer,1994,Frau,65,17.38
Ostdeutsche Bundesländer,1995,Frau,0,78.56
Ostdeutsche Bundesländer,1995,Frau,65,17.61
Ostdeutsche Bundesländer,1996,Frau,0,78.89
Ostdeutsche Bundesländer,1996,Frau,65,17.85
Ostdeutsche Bundesländer,1997,Frau,0,79.54
Ostdeutsche Bundesländer,1997,Frau,65,18.22
Ostdeutsche Bundesländer,1998,Frau,0,79.89
Ostdeutsche Bundesländer,1998,Frau,65,18.49
Ostdeutsche Bundesländer,1999,Frau,0,80.39
Ostdeutsche Bundesländer,1999,Frau,65,18.76
Ostdeutsche Bundesländer,2000,Frau,0,80.67
Ostdeutsche Bundesländer,2000,Frau,65,18.99
Ostdeutsche Bundesländer,2001,Frau,0,81
Ostdeutsche Bundesländer,2001,Frau,65,19.24
Ostdeutsche Bundesländer,2002,Frau,0,80.99
Ostdeutsche Bundesländer,2002,Frau,65,19.22
Ostdeutsche Bundesländer,2003,Frau,0,81.27
Ostdeutsche Bundesländer,2003,Frau,65,19.35
Ostdeutsche Bundesländer,2004,Frau,0,81.74
Ostdeutsche Bundesländer,2004,Frau,65,19.78
Ostdeutsche Bundesländer,2005,Frau,0,81.83
Ostdeutsche Bundesländer,2005,Frau,65,19.85
Ostdeutsche Bundesländer,2006,Frau,0,82.07
Ostdeutsche Bundesländer,2006,Frau,65,20.09
Ostdeutsche Bundesländer,2007,Frau,0,82.27
Ostdeutsche Bundesländer,2007,Frau,65,20.13
Ostdeutsche Bundesländer,2008,Frau,0,82.33
Ostdeutsche Bundesländer,2008,Frau,65,20.22
Ostdeutsche Bundesländer,2009,Frau,0,82.44
Ostdeutsche Bundesländer,2009,Frau,65,20.29
Ostdeutsche Bundesländer,2010,Frau,0,82.52
Ostdeutsche Bundesländer,2010,Frau,65,20.38
Ostdeutsche Bundesländer,2011,Frau,0,82.73
Ostdeutsche Bundesländer,2011,Frau,65,20.65
Ostdeutsche Bundesländer,2012,Frau,0,82.95
Ostdeutsche Bundesländer,2012,Frau,65,20.77
Ostdeutsche Bundesländer,2013,Frau,0,82.82
Ostdeutsche Bundesländer,2013,Frau,65,20.65
Ostdeutsche Bundesländer,1956,Mann,0,66.39
Ostdeutsche Bundesländer,1956,Mann,65,12.84
Ostdeutsche Bundesländer,1957,Mann,0,65.84
Ostdeutsche Bundesländer,1957,Mann,65,12.45
Ostdeutsche Bundesländer,1958,Mann,0,66.49
Ostdeutsche Bundesländer,1958,Mann,65,12.72
Ostdeutsche Bundesländer,1959,Mann,0,66.28
Ostdeutsche Bundesländer,1959,Mann,65,12.47
Ostdeutsche Bundesländer,1960,Mann,0,66.48
Ostdeutsche Bundesländer,1960,Mann,65,12.3
Ostdeutsche Bundesländer,1961,Mann,0,67.27
Ostdeutsche Bundesländer,1961,Mann,65,12.71
Ostdeutsche Bundesländer,1962,Mann,0,67.28
Ostdeutsche Bundesländer,1962,Mann,65,12.34
Ostdeutsche Bundesländer,1963,Mann,0,67.77
Ostdeutsche Bundesländer,1963,Mann,65,12.74
Ostdeutsche Bundesländer,1964,Mann,0,67.87
Ostdeutsche Bundesländer,1964,Mann,65,12.5
Ostdeutsche Bundesländer,1965,Mann,0,67.97
Ostdeutsche Bundesländer,1965,Mann,65,12.25
Ostdeutsche Bundesländer,1966,Mann,0,68.35
Ostdeutsche Bundesländer,1966,Mann,65,12.43
Ostdeutsche Bundesländer,1967,Mann,0,68.44
Ostdeutsche Bundesländer,1967,Mann,65,12.34
Ostdeutsche Bundesländer,1968,Mann,0,68.04
Ostdeutsche Bundesländer,1968,Mann,65,11.88
Ostdeutsche Bundesländer,1969,Mann,0,67.85
Ostdeutsche Bundesländer,1969,Mann,65,11.8
Ostdeutsche Bundesländer,1970,Mann,0,68.14
Ostdeutsche Bundesländer,1970,Mann,65,11.87
Ostdeutsche Bundesländer,1971,Mann,0,68.58
Ostdeutsche Bundesländer,1971,Mann,65,12.12
Ostdeutsche Bundesländer,1972,Mann,0,68.64
Ostdeutsche Bundesländer,1972,Mann,65,12.09
Ostdeutsche Bundesländer,1973,Mann,0,68.85
Ostdeutsche Bundesländer,1973,Mann,65,12.1
Ostdeutsche Bundesländer,1974,Mann,0,68.96
Ostdeutsche Bundesländer,1974,Mann,65,12.2
Ostdeutsche Bundesländer,1975,Mann,0,68.57
Ostdeutsche Bundesländer,1975,Mann,65,11.95
Ostdeutsche Bundesländer,1976,Mann,0,68.86
Ostdeutsche Bundesländer,1976,Mann,65,12.16
Ostdeutsche Bundesländer,1977,Mann,0,69.02
Ostdeutsche Bundesländer,1977,Mann,65,12.39
Ostdeutsche Bundesländer,1978,Mann,0,68.82
Ostdeutsche Bundesländer,1978,Mann,65,12.22
Ostdeutsche Bundesländer,1979,Mann,0,68.76
Ostdeutsche Bundesländer,1979,Mann,65,12.2
Ostdeutsche Bundesländer,1980,Mann,0,68.71
Ostdeutsche Bundesländer,1980,Mann,65,12.03
Ostdeutsche Bundesländer,1981,Mann,0,69
Ostdeutsche Bundesländer,1981,Mann,65,12.29
Ostdeutsche Bundesländer,1982,Mann,0,69.13
Ostdeutsche Bundesländer,1982,Mann,65,12.31
Ostdeutsche Bundesländer,1983,Mann,0,69.51
Ostdeutsche Bundesländer,1983,Mann,65,12.53
Ostdeutsche Bundesländer,1984,Mann,0,69.7
Ostdeutsche Bundesländer,1984,Mann,65,12.59
Ostdeutsche Bundesländer,1985,Mann,0,69.56
Ostdeutsche Bundesländer,1985,Mann,65,12.38
Ostdeutsche Bundesländer,1986,Mann,0,69.62
Ostdeutsche Bundesländer,1986,Mann,65,12.42
Ostdeutsche Bundesländer,1987,Mann,0,69.88
Ostdeutsche Bundesländer,1987,Mann,65,12.68
Ostdeutsche Bundesländer,1988,Mann,0,69.83
Ostdeutsche Bundesländer,1988,Mann,65,12.66
Ostdeutsche Bundesländer,1989,Mann,0,70.17
Ostdeutsche Bundesländer,1989,Mann,65,12.92
Ostdeutsche Bundesländer,1990,Mann,0,69.21
Ostdeutsche Bundesländer,1990,Mann,65,12.78
Ostdeutsche Bundesländer,1991,Mann,0,69.43
Ostdeutsche Bundesländer,1991,Mann,65,12.99
Ostdeutsche Bundesländer,1992,Mann,0,70.01
Ostdeutsche Bundesländer,1992,Mann,65,13.44
Ostdeutsche Bundesländer,1993,Mann,0,70.33
Ostdeutsche Bundesländer,1993,Mann,65,13.47
Ostdeutsche Bundesländer,1994,Mann,0,70.67
Ostdeutsche Bundesländer,1994,Mann,65,13.75
Ostdeutsche Bundesländer,1995,Mann,0,71.17
Ostdeutsche Bundesländer,1995,Mann,65,13.88
Ostdeutsche Bundesländer,1996,Mann,0,71.68
Ostdeutsche Bundesländer,1996,Mann,65,14.1
Ostdeutsche Bundesländer,1997,Mann,0,72.33
Ostdeutsche Bundesländer,1997,Mann,65,14.47
Ostdeutsche Bundesländer,1998,Mann,0,73.07
Ostdeutsche Bundesländer,1998,Mann,65,14.74
Ostdeutsche Bundesländer,1999,Mann,0,73.44
Ostdeutsche Bundesländer,1999,Mann,65,15.01
Ostdeutsche Bundesländer,2000,Mann,0,73.72
Ostdeutsche Bundesländer,2000,Mann,65,15.15
Ostdeutsche Bundesländer,2001,Mann,0,74.31
Ostdeutsche Bundesländer,2001,Mann,65,15.48
Ostdeutsche Bundesländer,2002,Mann,0,74.43
Ostdeutsche Bundesländer,2002,Mann,65,15.57
Ostdeutsche Bundesländer,2003,Mann,0,74.56
Ostdeutsche Bundesländer,2003,Mann,65,15.64
Ostdeutsche Bundesländer,2004,Mann,0,75.17
Ostdeutsche Bundesländer,2004,Mann,65,16.11
Ostdeutsche Bundesländer,2005,Mann,0,75.45
Ostdeutsche Bundesländer,2005,Mann,65,16.23
Ostdeutsche Bundesländer,2006,Mann,0,75.76
Ostdeutsche Bundesländer,2006,Mann,65,16.47
Ostdeutsche Bundesländer,2007,Mann,0,76.04
Ostdeutsche Bundesländer,2007,Mann,65,16.61
Ostdeutsche Bundesländer,2008,Mann,0,76.21
Ostdeutsche Bundesländer,2008,Mann,65,16.82
Ostdeutsche Bundesländer,2009,Mann,0,76.3
Ostdeutsche Bundesländer,2009,Mann,65,16.81
Ostdeutsche Bundesländer,2010,Mann,0,76.48
Ostdeutsche Bundesländer,2010,Mann,65,16.94
Ostdeutsche Bundesländer,2011,Mann,0,76.83
Ostdeutsche Bundesländer,2011,Mann,65,17.2
Ostdeutsche Bundesländer,2012,Mann,0,77.03
Ostdeutsche Bundesländer,2012,Mann,65,17.29
Ostdeutsche Bundesländer,2013,Mann,0,76.98
Ostdeutsche Bundesländer,2013,Mann,65,17.24
Ostdeutsche Bundesländer,1956,Total,0,68.78
Ostdeutsche Bundesländer,1956,Total,65,13.77
Ostdeutsche Bundesländer,1957,Total,0,68.33
Ostdeutsche Bundesländer,1957,Total,65,13.46
Ostdeutsche Bundesländer,1958,Total,0,68.88
Ostdeutsche Bundesländer,1958,Total,65,13.68
Ostdeutsche Bundesländer,1959,Total,0,68.75
Ostdeutsche Bundesländer,1959,Total,65,13.49
Ostdeutsche Bundesländer,1960,Total,0,69.07
Ostdeutsche Bundesländer,1960,Total,65,13.39
Ostdeutsche Bundesländer,1961,Total,0,69.89
Ostdeutsche Bundesländer,1961,Total,65,13.8
Ostdeutsche Bundesländer,1962,Total,0,69.82
Ostdeutsche Bundesländer,1962,Total,65,13.45
Ostdeutsche Bundesländer,1963,Total,0,70.37
Ostdeutsche Bundesländer,1963,Total,65,13.91
Ostdeutsche Bundesländer,1964,Total,0,70.52
Ostdeutsche Bundesländer,1964,Total,65,13.75
Ostdeutsche Bundesländer,1965,Total,0,70.65
Ostdeutsche Bundesländer,1965,Total,65,13.58
Ostdeutsche Bundesländer,1966,Total,0,71.02
Ostdeutsche Bundesländer,1966,Total,65,13.76
Ostdeutsche Bundesländer,1967,Total,0,71.18
Ostdeutsche Bundesländer,1967,Total,65,13.75
Ostdeutsche Bundesländer,1968,Total,0,70.81
Ostdeutsche Bundesländer,1968,Total,65,13.3
Ostdeutsche Bundesländer,1969,Total,0,70.73
Ostdeutsche Bundesländer,1969,Total,65,13.25
Ostdeutsche Bundesländer,1970,Total,0,70.97
Ostdeutsche Bundesländer,1970,Total,65,13.3
Ostdeutsche Bundesländer,1971,Total,0,71.35
Ostdeutsche Bundesländer,1971,Total,65,13.54
Ostdeutsche Bundesländer,1972,Total,0,71.52
Ostdeutsche Bundesländer,1972,Total,65,13.56
Ostdeutsche Bundesländer,1973,Total,0,71.83
Ostdeutsche Bundesländer,1973,Total,65,13.65
Ostdeutsche Bundesländer,1974,Total,0,71.96
Ostdeutsche Bundesländer,1974,Total,65,13.78
Ostdeutsche Bundesländer,1975,Total,0,71.57
Ostdeutsche Bundesländer,1975,Total,65,13.5
Ostdeutsche Bundesländer,1976,Total,0,71.89
Ostdeutsche Bundesländer,1976,Total,65,13.72
Ostdeutsche Bundesländer,1977,Total,0,72.21
Ostdeutsche Bundesländer,1977,Total,65,14.01
Ostdeutsche Bundesländer,1978,Total,0,72.05
Ostdeutsche Bundesländer,1978,Total,65,13.9
Ostdeutsche Bundesländer,1979,Total,0,72.04
Ostdeutsche Bundesländer,1979,Total,65,13.93
Ostdeutsche Bundesländer,1980,Total,0,71.93
Ostdeutsche Bundesländer,1980,Total,65,13.77
Ostdeutsche Bundesländer,1981,Total,0,72.19
Ostdeutsche Bundesländer,1981,Total,65,13.97
Ostdeutsche Bundesländer,1982,Total,0,72.39
Ostdeutsche Bundesländer,1982,Total,65,14.09
Ostdeutsche Bundesländer,1983,Total,0,72.74
Ostdeutsche Bundesländer,1983,Total,65,14.26
Ostdeutsche Bundesländer,1984,Total,0,72.85
Ostdeutsche Bundesländer,1984,Total,65,14.35
Ostdeutsche Bundesländer,1985,Total,0,72.75
Ostdeutsche Bundesländer,1985,Total,65,14.19
Ostdeutsche Bundesländer,1986,Total,0,72.8
Ostdeutsche Bundesländer,1986,Total,65,14.2
Ostdeutsche Bundesländer,1987,Total,0,73.15
Ostdeutsche Bundesländer,1987,Total,65,14.51
Ostdeutsche Bundesländer,1988,Total,0,73.15
Ostdeutsche Bundesländer,1988,Total,65,14.54
Ostdeutsche Bundesländer,1989,Total,0,73.51
Ostdeutsche Bundesländer,1989,Total,65,14.81
Ostdeutsche Bundesländer,1990,Total,0,72.91
Ostdeutsche Bundesländer,1990,Total,65,14.84
Ostdeutsche Bundesländer,1991,Total,0,73.19
Ostdeutsche Bundesländer,1991,Total,65,15.06
Ostdeutsche Bundesländer,1992,Total,0,73.8
Ostdeutsche Bundesländer,1992,Total,65,15.57
Ostdeutsche Bundesländer,1993,Total,0,74.23
Ostdeutsche Bundesländer,1993,Total,65,15.77
Ostdeutsche Bundesländer,1994,Total,0,74.56
Ostdeutsche Bundesländer,1994,Total,65,16.01
Ostdeutsche Bundesländer,1995,Total,0,75
Ostdeutsche Bundesländer,1995,Total,65,16.18
Ostdeutsche Bundesländer,1996,Total,0,75.42
Ostdeutsche Bundesländer,1996,Total,65,16.4
Ostdeutsche Bundesländer,1997,Total,0,76.07
Ostdeutsche Bundesländer,1997,Total,65,16.76
Ostdeutsche Bundesländer,1998,Total,0,76.64
Ostdeutsche Bundesländer,1998,Total,65,17.01
Ostdeutsche Bundesländer,1999,Total,0,77.06
Ostdeutsche Bundesländer,1999,Total,65,17.27
Ostdeutsche Bundesländer,2000,Total,0,77.33
Ostdeutsche Bundesländer,2000,Total,65,17.44
Ostdeutsche Bundesländer,2001,Total,0,77.79
Ostdeutsche Bundesländer,2001,Total,65,17.71
Ostdeutsche Bundesländer,2002,Total,0,77.83
Ostdeutsche Bundesländer,2002,Total,65,17.72
Ostdeutsche Bundesländer,2003,Total,0,78.01
Ostdeutsche Bundesländer,2003,Total,65,17.8
Ostdeutsche Bundesländer,2004,Total,0,78.55
Ostdeutsche Bundesländer,2004,Total,65,18.24
Ostdeutsche Bundesländer,2005,Total,0,78.73
Ostdeutsche Bundesländer,2005,Total,65,18.31
Ostdeutsche Bundesländer,2006,Total,0,79
Ostdeutsche Bundesländer,2006,Total,65,18.54
Ostdeutsche Bundesländer,2007,Total,0,79.22
Ostdeutsche Bundesländer,2007,Total,65,18.61
Ostdeutsche Bundesländer,2008,Total,0,79.32
Ostdeutsche Bundesländer,2008,Total,65,18.74
Ostdeutsche Bundesländer,2009,Total,0,79.41
Ostdeutsche Bundesländer,2009,Total,65,18.75
Ostdeutsche Bundesländer,2010,Total,0,79.53
Ostdeutsche Bundesländer,2010,Total,65,18.85
Ostdeutsche Bundesländer,2011,Total,0,79.81
Ostdeutsche Bundesländer,2011,Total,65,19.11
Ostdeutsche Bundesländer,2012,Total,0,80.01
Ostdeutsche Bundesländer,2012,Total,65,19.19
Ostdeutsche Bundesländer,2013,Total,0,79.91
Ostdeutsche Bundesländer,2013,Total,65,19.1
Westdeutsche Bundesländer,1956,Frau,0,70.89
Westdeutsche Bundesländer,1956,Frau,65,13.9
Westdeutsche Bundesländer,1957,Frau,0,71.06
Westdeutsche Bundesländer,1957,Frau,65,13.96
Westdeutsche Bundesländer,1958,Frau,0,71.8
Westdeutsche Bundesländer,1958,Frau,65,14.42
Westdeutsche Bundesländer,1959,Frau,0,72.03
Westdeutsche Bundesländer,1959,Frau,65,14.57
Westdeutsche Bundesländer,1960,Frau,0,71.89
Westdeutsche Bundesländer,1960,Frau,65,14.29
Westdeutsche Bundesländer,1961,Frau,0,72.45
Westdeutsche Bundesländer,1961,Frau,65,14.73
Westdeutsche Bundesländer,1962,Frau,0,72.79
Westdeutsche Bundesländer,1962,Frau,65,14.77
Westdeutsche Bundesländer,1963,Frau,0,72.75
Westdeutsche Bundesländer,1963,Frau,65,14.59
Westdeutsche Bundesländer,1964,Frau,0,73.54
Westdeutsche Bundesländer,1964,Frau,65,15.2
Westdeutsche Bundesländer,1965,Frau,0,73.41
Westdeutsche Bundesländer,1965,Frau,65,14.94
Westdeutsche Bundesländer,1966,Frau,0,73.52
Westdeutsche Bundesländer,1966,Frau,65,15.02
Westdeutsche Bundesländer,1967,Frau,0,73.81
Westdeutsche Bundesländer,1967,Frau,65,15.16
Westdeutsche Bundesländer,1968,Frau,0,73.44
Westdeutsche Bundesländer,1968,Frau,65,14.76
Westdeutsche Bundesländer,1969,Frau,0,73.37
Westdeutsche Bundesländer,1969,Frau,65,14.84
Westdeutsche Bundesländer,1970,Frau,0,73.65
Westdeutsche Bundesländer,1970,Frau,65,15.02
Westdeutsche Bundesländer,1971,Frau,0,73.85
Westdeutsche Bundesländer,1971,Frau,65,15.2
Westdeutsche Bundesländer,1972,Frau,0,74.17
Westdeutsche Bundesländer,1972,Frau,65,15.35
Westdeutsche Bundesländer,1973,Frau,0,74.39
Westdeutsche Bundesländer,1973,Frau,65,15.49
Westdeutsche Bundesländer,1974,Frau,0,74.66
Westdeutsche Bundesländer,1974,Frau,65,15.6
Westdeutsche Bundesländer,1975,Frau,0,74.66
Westdeutsche Bundesländer,1975,Frau,65,15.54
Westdeutsche Bundesländer,1976,Frau,0,75.14
Westdeutsche Bundesländer,1976,Frau,65,15.83
Westdeutsche Bundesländer,1977,Frau,0,75.85
Westdeutsche Bundesländer,1977,Frau,65,16.31
Westdeutsche Bundesländer,1978,Frau,0,75.9
Westdeutsche Bundesländer,1978,Frau,65,16.27
Westdeutsche Bundesländer,1979,Frau,0,76.33
Westdeutsche Bundesländer,1979,Frau,65,16.5
Westdeutsche Bundesländer,1980,Frau,0,76.62
Westdeutsche Bundesländer,1980,Frau,65,16.66
Westdeutsche Bundesländer,1981,Frau,0,76.8
Westdeutsche Bundesländer,1981,Frau,65,16.71
Westdeutsche Bundesländer,1982,Frau,0,77.11
Westdeutsche Bundesländer,1982,Frau,65,16.9
Westdeutsche Bundesländer,1983,Frau,0,77.37
Westdeutsche Bundesländer,1983,Frau,65,17
Westdeutsche Bundesländer,1984,Frau,0,77.93
Westdeutsche Bundesländer,1984,Frau,65,17.4
Westdeutsche Bundesländer,1985,Frau,0,78.06
Westdeutsche Bundesländer,1985,Frau,65,17.41
Westdeutsche Bundesländer,1986,Frau,0,78.28
Westdeutsche Bundesländer,1986,Frau,65,17.51
Westdeutsche Bundesländer,1987,Frau,0,78.73
Westdeutsche Bundesländer,1987,Frau,65,17.87
Westdeutsche Bundesländer,1988,Frau,0,78.93
Westdeutsche Bundesländer,1988,Frau,65,18
Westdeutsche Bundesländer,1989,Frau,0,79.03
Westdeutsche Bundesländer,1989,Frau,65,18.04
Westdeutsche Bundesländer,1990,Frau,0,79.01
Westdeutsche Bundesländer,1990,Frau,65,17.98
Westdeutsche Bundesländer,1991,Frau,0,79.23
Westdeutsche Bundesländer,1991,Frau,65,18.19
Westdeutsche Bundesländer,1992,Frau,0,79.61
Westdeutsche Bundesländer,1992,Frau,65,18.45
Westdeutsche Bundesländer,1993,Frau,0,79.55
Westdeutsche Bundesländer,1993,Frau,65,18.38
Westdeutsche Bundesländer,1994,Frau,0,79.84
Westdeutsche Bundesländer,1994,Frau,65,18.59
Westdeutsche Bundesländer,1995,Frau,0,79.96
Westdeutsche Bundesländer,1995,Frau,65,18.68
Westdeutsche Bundesländer,1996,Frau,0,80.09
Westdeutsche Bundesländer,1996,Frau,65,18.72
Westdeutsche Bundesländer,1997,Frau,0,80.44
Westdeutsche Bundesländer,1997,Frau,65,19.01
Westdeutsche Bundesländer,1998,Frau,0,80.69
Westdeutsche Bundesländer,1998,Frau,65,19.14
Westdeutsche Bundesländer,1999,Frau,0,80.83
Westdeutsche Bundesländer,1999,Frau,65,19.28
Westdeutsche Bundesländer,2000,Frau,0,81.07
Westdeutsche Bundesländer,2000,Frau,65,19.48
Westdeutsche Bundesländer,2001,Frau,0,81.34
Westdeutsche Bundesländer,2001,Frau,65,19.68
Westdeutsche Bundesländer,2002,Frau,0,81.36
Westdeutsche Bundesländer,2002,Frau,65,19.68
Westdeutsche Bundesländer,2003,Frau,0,81.4
Westdeutsche Bundesländer,2003,Frau,65,19.67
Westdeutsche Bundesländer,2004,Frau,0,81.93
Westdeutsche Bundesländer,2004,Frau,65,20.13
Westdeutsche Bundesländer,2005,Frau,0,82.01
Westdeutsche Bundesländer,2005,Frau,65,20.17
Westdeutsche Bundesländer,2006,Frau,0,82.28
Westdeutsche Bundesländer,2006,Frau,65,20.36
Westdeutsche Bundesländer,2007,Frau,0,82.44
Westdeutsche Bundesländer,2007,Frau,65,20.52
Westdeutsche Bundesländer,2008,Frau,0,82.42
Westdeutsche Bundesländer,2008,Frau,65,20.46
Westdeutsche Bundesländer,2009,Frau,0,82.5
Westdeutsche Bundesländer,2009,Frau,65,20.52
Westdeutsche Bundesländer,2010,Frau,0,82.65
Westdeutsche Bundesländer,2010,Frau,65,20.64
Westdeutsche Bundesländer,2011,Frau,0,82.85
Westdeutsche Bundesländer,2011,Frau,65,20.86
Westdeutsche Bundesländer,2012,Frau,0,82.94
Westdeutsche Bundesländer,2012,Frau,65,20.81
Westdeutsche Bundesländer,2013,Frau,0,82.87
Westdeutsche Bundesländer,2013,Frau,65,20.77
Westdeutsche Bundesländer,1956,Mann,0,65.93
Westdeutsche Bundesländer,1956,Mann,65,12.22
Westdeutsche Bundesländer,1957,Mann,0,65.82
Westdeutsche Bundesländer,1957,Mann,65,12.12
Westdeutsche Bundesländer,1958,Mann,0,66.68
Westdeutsche Bundesländer,1958,Mann,65,12.52
Westdeutsche Bundesländer,1959,Mann,0,66.78
Westdeutsche Bundesländer,1959,Mann,65,12.56
Westdeutsche Bundesländer,1960,Mann,0,66.52
Westdeutsche Bundesländer,1960,Mann,65,12.18
Westdeutsche Bundesländer,1961,Mann,0,66.97
Westdeutsche Bundesländer,1961,Mann,65,12.55
Westdeutsche Bundesländer,1962,Mann,0,67.12
Westdeutsche Bundesländer,1962,Mann,65,12.34
Westdeutsche Bundesländer,1963,Mann,0,67.06
Westdeutsche Bundesländer,1963,Mann,65,12.08
Westdeutsche Bundesländer,1964,Mann,0,67.6
Westdeutsche Bundesländer,1964,Mann,65,12.54
Westdeutsche Bundesländer,1965,Mann,0,67.59
Westdeutsche Bundesländer,1965,Mann,65,12.21
Westdeutsche Bundesländer,1966,Mann,0,67.55
Westdeutsche Bundesländer,1966,Mann,65,12.23
Westdeutsche Bundesländer,1967,Mann,0,67.74
Westdeutsche Bundesländer,1967,Mann,65,12.29
Westdeutsche Bundesländer,1968,Mann,0,67.4
Westdeutsche Bundesländer,1968,Mann,65,11.83
Westdeutsche Bundesländer,1969,Mann,0,67.15
Westdeutsche Bundesländer,1969,Mann,65,11.74
Westdeutsche Bundesländer,1970,Mann,0,67.34
Westdeutsche Bundesländer,1970,Mann,65,11.95
Westdeutsche Bundesländer,1971,Mann,0,67.47
Westdeutsche Bundesländer,1971,Mann,65,12.1
Westdeutsche Bundesländer,1972,Mann,0,67.63
Westdeutsche Bundesländer,1972,Mann,65,12.11
Westdeutsche Bundesländer,1973,Mann,0,67.86
Westdeutsche Bundesländer,1973,Mann,65,12.17
Westdeutsche Bundesländer,1974,Mann,0,68.25
Westdeutsche Bundesländer,1974,Mann,65,12.29
Westdeutsche Bundesländer,1975,Mann,0,68.07
Westdeutsche Bundesländer,1975,Mann,65,12.14
Westdeutsche Bundesländer,1976,Mann,0,68.57
Westdeutsche Bundesländer,1976,Mann,65,12.37
Westdeutsche Bundesländer,1977,Mann,0,69.21
Westdeutsche Bundesländer,1977,Mann,65,12.72
Westdeutsche Bundesländer,1978,Mann,0,69.18
