category,year,value
Befristet Beschäftigte,2005,0.0842087017
Befristet Beschäftigte,2006,0.0891715436
Befristet Beschäftigte,2007,0.088730527
Befristet Beschäftigte,2008,0.0898799426
Befristet Beschäftigte,2009,0.0872619164
Befristet Beschäftigte,2010,0.0900830989
Befristet Beschäftigte,2011,0.0887349924
Befristet Beschäftigte,2012,0.0829736211
Befristet Beschäftigte,2013,0.0786374573
Befristet Beschäftigte,2014,0.0760603972
Zeitarbeitnehmer/-innen,1991,
Zeitarbeitnehmer/-innen,1992,
Zeitarbeitnehmer/-innen,1993,
Zeitarbeitnehmer/-innen,1994,
Zeitarbeitnehmer/-innen,1995,
Zeitarbeitnehmer/-innen,1996,
Zeitarbeitnehmer/-innen,1997,
Zeitarbeitnehmer/-innen,1998,
Zeitarbeitnehmer/-innen,1999,
Zeitarbeitnehmer/-innen,2000,
Zeitarbeitnehmer/-innen,2001,
Zeitarbeitnehmer/-innen,2002,
Zeitarbeitnehmer/-innen,2003,
Zeitarbeitnehmer/-innen,2004,
Zeitarbeitnehmer/-innen,2005,
Zeitarbeitnehmer/-innen,2006,0.018774737
Zeitarbeitnehmer/-innen,2007,0.0202519059
Zeitarbeitnehmer/-innen,2008,0.0203901866
Zeitarbeitnehmer/-innen,2009,0.0182626025
Zeitarbeitnehmer/-innen,2010,0.0238303101
Zeitarbeitnehmer/-innen,2011,0.0238827222
Zeitarbeitnehmer/-innen,2012,0.0227338129
Zeitarbeitnehmer/-innen,2013,0.0213688743
Zeitarbeitnehmer/-innen,2014,0.0207067226
