dimension_id,id,title,placeholder,data,filter,mini_config,keywords
09,09-04,Öffentliche und private Ausgaben für Forschung und Entwicklung im Verhältnis zum BIP,,09/04/fue.csv,datum.country == 'Deutschland',"{
 ""type"": ""Line"",
 ""data"": ""static/dashboard/data/09-04.csv"",
 ""color"": ""country"",
 ""numberFormat"": "".2%""
}","Forschung und Entwicklung,Innovationsfähigkeit,Wirtschaft,Wettbewerbsfähigkeit,Zukunftsfähigkeit,Forschung"
09,09-05,Zeitdauer für eine Unternehmensgründung,,09/05/days.csv,,"{
 ""type"": ""Line"",
 ""data"": ""static/dashboard/data/09-05.csv"",
 ""numberFormat"": "".1f"",
 ""unit"": ""Tage""
}","Gründerkultur,Unternehmensgründungen,Start-Ups,Bürokratie,Wettbewerbsfähigkeit,bürokratische Hürden"
10,10-01,Luftqualität,,10/01/categories.csv,"year(datum.year) >= 2000 && datum.category == 'Luftschadstoffe (+ PM<sub>2,5</sub>)'","{
 ""type"": ""Line"",
 ""data"": ""static/dashboard/data/10-01.csv"",
 ""numberFormat"": "".2f"",
 ""endDy"": ""1.9em""
}","Luft,Schafstoffe,saubere Luft,Luftschadstoffe,Feinstaub,Emissionen,Schwefeldioxid,Stickstoff,Amoniak"
10,10-02,Artenvielfalt und Landschaftsqualität,,10/02/categories.csv,(datum.year == 1990 || datum.year == 2013) && datum.facet == 'Gesamtindikator',"{
 ""type"": ""Slope"",
 ""data"": ""static/dashboard/data/10-02.csv"",
 ""color"": ""facet_value"",
 ""column"": """",
 ""numberFormat"": "".1f"",
 ""columns"": 1
}","Landschaftsqualität,Artenvielfalt,Natur,Naturschutz,Nachhaltigkeit,Landnutzung,Vogelindex"
10,10-03,Energieproduktivität,,10/03/years.csv,,"{
 ""type"": ""Line"",
 ""data"": ""static/dashboard/data/10-03.csv"",
 ""x"": ""year"",
 ""y"": ""value"",
 ""numberFormat"": "".2f""
}","Energieeffizienz,Energieproduktivität,Primärenergieverbrauch,Energiewende"
11,11-01,Wahlbeteiligung,,11/01/federation.csv,datum.region == 'Deutschland',"{
 ""type"": ""Line"",
 ""data"": ""static/dashboard/data/11-01.csv"",
 ""color"": ""region"",
 ""numberFormat"": "".1%"",
 ""endDy"": ""1.9em""
}","politische Partizipation,Wahlen,Wahlbeteiligung,Wahlablauf,Wahlleiter"
11,11-02,"Möglichkeit, Einfluss auf die Politik zu nehmen",,11/02/facets.csv,datum.facet == 'Insgesamt',"{
 ""type"": ""Bar"",
 ""data"": ""static/dashboard/data/11-02.csv"",
 ""numberFormat"": ""%"",
 ""color"": ""answer"",
 ""y"": ""facet"",
 ""colorLegend"": true,
 ""sort"": ""none"",
 ""colorSort"": ""none"",
 ""domain"": [0,1],
 ""column"": """",
 ""columnSort"": ""none"",
 ""highlight"": ""datum.facet == 'Insgesamt'""
}","politische Partizipation,Einflussmöglichkeiten,Partizipation,Partizipationsmöglichkeiten,politisches System,Einfluss,Beteiligung,politscher Prozess"
11,11-03,Gewährleistung von acht ausgewählten Grundrechten,,11/03/categories.csv,datum.category == 'Grundrechte Insgesamt' && datum.year != '2014',"{
 ""type"": ""Slope"",
 ""data"": ""static/dashboard/data/11-03.csv"",
 ""height"": 310,
 ""color"": ""category"",
 ""numberFormat"": "".2f"",
 ""zero"": false,
 ""endLabel"": false,
 ""columns"": 1,
 ""paddingRight"": 50
}","Freiheit,Freiheitsrechte,Grundrechte,Rechtsstaatlichkeit,Gleicheit"
12,12-01,Globale und nationale Treibhausgas-Emissionen,,12/01/global.csv,datum.category == 'GHG' && (datum.year == 1990 || datum.year == 2012),"{
 ""type"": ""Slope"",
 ""data"": ""static/dashboard/data/12-01.csv"",
 ""numberFormat"": ""s"",
 ""unit"": ""Tonnen"",
 ""columns"": 1
}","Klima,Klimawandel,Klimaschutz,Treibhausgase,CO2-Emissionen,Entwaldung,Treibhausgase,Emissionen"
12,12-02,Anteil der öffentlichen Ausgaben für Entwicklungszusammenarbeit am Bruttonationaleinkommen,,12/02/values.csv,,"{
 ""type"": ""Line"",
 ""data"": ""static/dashboard/data/12-02.csv"",
 ""numberFormat"": "".2%""
}","ODA-Quote,Entwicklungshilfe,Zusammenarbeit mit Entwicklungsländern,Entwicklungsländer,internationale Organisationen,globale Verantwortung,internationale Verantwortung"
12,12-03,Globale unternehmerische Verantwortung (Platzhalter),TRUE,,,,"unternehmerische Verantwortung,Umweltstandards,Arbeitnehmerrechte,Menschenrechte,CSR,Corporate Social Responsibility,globale Verantwortung,Verantwortung"
