id,title,type,data,config,alt_text,new_data,status,dashboard,report,copyright,source_label,source_url,source_annotation,footnote
01-03-b,Durchschnittliche Fahrzeit mit PKW zum nächsten Hausarzt in einer Kreisregion in Minuten 2016,KRegMap,01/03/distance.csv,"{
  ""legendTitle"": ""Fahrzeit in Minuten mit PKW"",
  ""numberFormat"": "".2f""
}","Die Abbildung zeigt anhand einer Deutschland-Karte, die durchschnittliche Fahrzeit mit dem PKW zum nächsten Hausarzt in einer Kreisregion. In allen Kreisregionen Deutschlands ist der nächstgelegen Hausarzt durchschnittlich innerhalb von sechs Minuten mit dem PKW erreichbar. Es zeigen sich aber regionale Unterschiede. Die Spanne reicht von 2,4 Minuten bis knapp über 10 Minuten. Die kürzeste Anfahrtszeit haben Bewohner von Großstädten.",FALSE,plotted,TRUE,TRUE,,,,"Kassenärztliche Bundesvereinigung, Sonderauswertung. Datenstand Arztzahlen: 31.12.2016; Quelle: Bundesarztregister. ","Die Kreisregionen sind nach der Gebietssystematik des BBSR zugeordnet, Datenstand Gebiete und Einwohner 31.12.2014. "
01-03-bb,Kürzeste und längste Anfahrtswege zum nächsten Hausarzt in Minuten 2016,Bar,01/03/distance.csv,"{
  ""y"": ""name"",
  ""category"": ""datum.value <= 2.86 ? 'Top 5' : (datum.value >= 9.11 ? 'Bottom 5' : '')"",
  ""colorSort"": ""none"",
  ""columns"": 2,
  ""columnFilter"": [
    {""title"": ""Kürzeste Fahrzeit"", ""test"": ""datum.value <= 2.86""},
    {""title"": ""Längste Fahrzeit"", ""test"": ""datum.value >= 9.11""}
  ],
  ""numberFormat"": "".2f""
}","Die Abbildung zeigt die fünf Kreisregionen in Deutschland mit dem kürzesten und längsten Anfahrtsweg zum nächsten Hausarzt in Minuten im Jahr 2016. Den kürzesten Anfahrtsweg haben die Bewohner in München, Freiburg, Berlin, Bonn und Darmstadt. Den längsten Anfahrtsweg haben Bewohner der Kreisregionen Eifelkreis Bitburg-Prüm, Ostprignitz-Ruppin, Cochem-Zell, Vulkaneifel und Birkenfeld.",FALSE,plotted,FALSE,TRUE,,,,"Kassenärztliche Bundesvereinigung, Sonderauswertung. Datenstand Arztzahlen: 31.12.2016; Quelle: Bundesarztregister. ","Die Kreisregionen sind nach der Gebietssystematik des BBSR zugeordnet, Datenstand Gebiete und Einwohner 31.12.2014. "
01-03-c,"Anzahl der Einwohner, die ein allgemeiner Facharzt pro Kreisregion versorgt 2010 und 2016",KRegMap,01/03/density.csv,"{
  ""legendTitle"": ""Anzahl der Einwohner"",
  ""filter"": ""datum.category == 'ALLGFA'"",
  ""column"": ""year"",
  ""columns"": 2
}","Die Abbildung zeigt anhand von zwei Deutschland-Karten, wie viele Einwohner ein allgemeiner Facharzt durchschnittlich in einer Kreisregion in den Jahren 2010 und 2016 versorgte. Hierbei zeigen sich sehr große regionale Unterschiede. Die Spanne reichte 2016 von 440 Einwohnern pro allgemeinem Facharzt in der Kreisregion Heidelberg bis 2.270 Einwohnern in der Kreisregion Gifhorn. Bei den allgemeinen Fachärzten konzentriert sich die Versorgung in den Städten, die das Umland mitversorgen. Zu den allgemeinen Fachärzten zählen Augenärzte, Chirurgen, Frauenärzte, Hautärzte, Hals-Nasen-Ohren-Ärzte, Nervenärzte, Orthopäden, Psychotherapeuten, Urologen und Kinderärzte.",FALSE,plotted,TRUE,TRUE,,,,"Kassenärztliche Bundesvereinigung, Sonderauswertung. Datenstand Arztzahlen: 31.12.2016; Quelle: Bundesarztregister. ","Die Kreisregionen sind nach der Gebietssystematik des BBSR zugeordnet, Datenstand Gebiete und Einwohner 31.12.2014. "
01-05-a,"Anteil der Personen, die ihre Gesundheit als „weniger gut“ oder „schlecht“ bzw. „gut“ oder „sehr gut“ einschätzen, differenziert nach Einkommensklassen 2014",Lollipop,01/05/quintile.csv,"{
  ""numberFormat"": ""%"",
  ""column"": ""quintile"",
  ""y"": ""category"",
  ""color"": ""category"",
  ""sort"": ""none""
}","Die Abbildung zeigt den Anteil der Personen, die 2014 ihre Gesundheit als „weniger gut“ oder „schlecht“ bzw. „gut“ oder „sehr gut“ einschätzten differenziert nach fünf umfanggleichen Einkommensklassen, so genannten Quintilen. Je geringer das Einkommen, desto höher ist der Anteil derjenigen, die ihren Gesundheitszustand als ""schlecht"" oder ""weniger gut"" einschätzen. Am unteren Ende der Einkommensverteilung, also bei den 20 Prozent der Menschen in Deutschland mit den geringsten Einkommen, schätzte jeder Vierte seinen Gesundheitszustand als ""weniger gut"" oder ""schlecht"" ein. An der Spitze, also bei den oberen 20 Prozent, war es dagegen nur jeder Zehnte. Insgesamt war der Anteil der Menschen mit ""gut"" oder sogar ""sehr gut"" eingeschätzter Gesundheit in allen Einkommensklassen höher als der Anteil der Menschen mit ""weniger gut"" oder ""schlecht"" eingeschätzter Gesundheit.",FALSE,plotted,TRUE,TRUE,,,,"Berechnungen des DIW Berlin, SOEPv32.1.",Berücksichtigt werden Personen in Privathaushalten zwischen 20 und 64 Jahren.
02-01-a,Entwicklung der Arbeitslosenquote im Jahresdurchschnitt,Line,02/01/regions.csv,"{
  ""color"": ""region"",
  ""numberFormat"": "".1%""
}","Die Abbildung zeigt die Entwicklung der Arbeitslosenquote im Jahresdurchschnitt im Zeitraum von 1992 bis 2016. Auf zwei historische Höchststände in den Jahren 1997 und 2005 mit einer Arbeitslosenquote von über 11 Prozent folgten deutliche Erholungen. 2016 lag die Arbeitslosenquote bundesweit bei 6,1 Prozent, in den westdeutschen Ländern bei 5,6 Prozent und in den ostdeutschen Ländern bei 8,5 Prozent.",FALSE,plotted,TRUE,TRUE,,,,"Statistik der Bundesagentur für Arbeit, Arbeitslosigkeit im Zeitverlauf. ",
02-01-b,Regionale Verteilung der Arbeitslosigkeit in Deutschland auf Kreisebene 2005 und 2016,KrsMap,02/01/districts.csv,"{
  ""accessor"": ""value"",
  ""filter"": ""datum.year == 2005 || datum.year == 2016"",
  ""column"": ""year"",
  ""columns"": 2,
  ""krsYear"": 2015,
  ""numberFormat"": "".1%"",
  ""legendTitle"": ""Arbeitslosenquote""
}","Die Abbildung zeigt anhand von zwei Deutschland-Karten die regionale Verteilung der Arbeitslosigkeit auf Kreisebene in den Jahren 2005 und 2016. Die Spanne reichte im Jahr 2005 von 4,3 bis 27,6 Prozent. Im Jahr 2016 reichte die Spanne von 1,4 im Landkreis Eichstätt bis 14,7 Prozent in der Stadt Gelsenkirchen. Insgesamt lässt sich ein Ost-West- sowie ein Nord-Süd-Gefälle erkennen. Die zwei Karten zeigen auch, dass sich die Arbeitslosenquote seit 2005 deutlich verringert hat.",FALSE,plotted,TRUE,TRUE,,,,"Laufende Raumbeobachtung des BBSR, Bundesagentur für Arbeit.",
02-01-c,Entwicklung der Langzeitarbeitslosigkeit,Line,02/01/long-term.csv,"{
  ""numberFormat"": ""s""
}",Die Abbildung zeigt die Entwicklung der Langzeitarbeitslosigkeit im Zeitraum von 1998 bis 2016. Die Zahl der Langzeitarbeitslosen erreichte 2006 einen Höchstwert von etwa 1.864.000 und ist seit dem um rund 800.000 gesunken. 2016 lag die Zahl der Langzeitarbeitslosen bei etwa 993.000.,FALSE,plotted,TRUE,TRUE,,,,"Statistik der Bundesagentur für Arbeit, Arbeitslosigkeit im Zeitverlauf. ",
02-01-d,Entwicklung der Jugendarbeitslosigkeit,Line,02/01/youth.csv,"{
  ""numberFormat"": "".1%""
}","Die Abbildung zeigt die Entwicklung der Jugendarbeitslosigkeit im Zeitraum von 2008 bis 2016. Der Anteil der 15- bis 24-jährigen Arbeitslosen ist in diesem Zeitraum von sieben auf 5,3 Prozent gesunken.",FALSE,plotted,TRUE,TRUE,,,,"Statistik der Bundesagentur für Arbeit, Arbeitslosigkeit im Zeitverlauf. ",
02-03-a,Entwicklung der Erwerbstätigenquote der 20-64-Jährigen nach Geschlecht,Line,02/03/facets.csv,"{
  ""filter"": ""datum.facet == ''"",
  ""numberFormat"": "".1%"",
  ""color"": ""gender"",
  ""zero"": false
}","Die Abbildung zeigt die Entwicklung der Erwerbstätigenquote der 20- bis 64-Jährigen insgesamt und differenziert nach Geschlecht im Zeitraum von 1991 bis 2016. In diesem Zeitraum ist die Erwerbstätigenquote insgesamt von 70,4 Prozent auf 78.4 Prozent gestiegen. Die Erwerbstätigenquote der Frauen ist seit 1991 von rund 59 auf 74,3 Prozent im Jahr 2016 gestiegen. Die der Männer lag 2015 bei 82,3 Prozent.",TRUE,plotted,TRUE,TRUE,,,,"Statistisches Bundesamt, Ergebnisse des Mikrozensus 2016.",
02-03-b,Entwicklung der Erwerbstätigenquote nach Migrationshintergrund,Slope,02/03/facets.csv,"{
  ""filter"": ""datum.facet == 'Migrationshintergrund' && (datum.year == 2005 || datum.year == 2016)"",
  ""column"": ""gender"",
  ""columnSort"": ""none"",
  ""columns"": 3,
  ""color"": ""facet_value"",
  ""bandSize"": 80
}",Die Abbildung zeigt die Erwerbstätigenquote von Menschen mit und ohne Migrationshintergrund in den Jahren 2005 und 2016. Die Erwerbstätigenquote von Menschen mit Migrationshintergrund lag 2005 bei rund 60 Prozent und 2016 bei knapp unter 70 Prozent. Die Erwerbstätigenquote von Menschen ohne Migrationshintergrund lag 2016 bei 81 Prozent und damit mehr als 10 Prozentpunkte höher als die von Menschen mit Migrationshintergrund. Es zeigen sich zudem deutliche Unterschiede zwischen Männern und Frauen. Die Erwerbstätigenquote der Männer mit Migrationshintergrund lag 2016 mit 76 Prozent acht Prozentpunkte unter der Erwerbstätigenquote der Männer ohne Migrationshintergrund. Frauen mit Migrationshintergrund erreichten 2016 lediglich eine Erwerbstätigenquote von rund 62 Prozent im Vergleich zu knapp 78 Prozent bei den Frauen ohne Migrationshintergrund.,TRUE,plotted,TRUE,TRUE,,,,"Statistisches Bundesamt, Ergebnisse des Mikrozensus 2016.",
02-03-c,Entwicklung der Erwerbstätigenquote von Menschen mit und ohne Behinderung,Slope,02/03/facets.csv,"{
  ""filter"": ""datum.facet == 'Behinderung'"",
  ""columns"": 1,
  ""endLabel"": true,
  ""color"": ""facet_value""
}","Die Abbildung zeigt die Entwicklung der Erwerbstätigenquote von Menschen mit und ohne Behinderung im Zeitraum von 2005 bis 2013. Die Erwerbsbeteiligung von Menschen mit Behinderung ist in diesem Zeitraum von 43 auf 50 Prozent gestiegen. Im Vergleich dazu lag die Erwerbstätigenquote von Menschen ohne Behinderung deutlich höher, bei 80 Prozent im Jahr 2013. Bei Menschen mit einer Schwerbehinderung, also einem Grad der Behinderung von 50 Prozent und höher, lag die Erwerbstätigenquote 2013 nur bei 43 Prozent.",FALSE,plotted,TRUE,TRUE,,,,"Statistisches Bundesamt, Mikrozensus.",*Grad der Behinderung: 50 Prozent oder höher.
02-04-aa,Entwicklung des Anteils atypischer Beschäftigung an abhängiger Beschäftigung,Line,02/04/percentages.csv,"{
  ""filter"": ""datum.category == 'Insgesamt'"",
  ""numberFormat"": "".1%""
}","Die Abbildung zeigt die Entwicklung des Anteils atypischer Beschäftigung an abhängiger Beschäftigung im Zeitraum von 1991 bis 2016. 1991 betrug der Anteil der atypisch Beschäftigten an allen abhängig Beschäftigten rund 14 Prozent. Zwischen 1991 und 2007 ist dieser Anteil deutlich gestiegen und erreichte 2007 seinen bisherigen Höchststand von 25,5 Prozent. Seit dem Höchststand 2007 ist der Anteil gesunken und betrug 2016 rund 22,9 Prozent.",TRUE,plotted,TRUE,TRUE,,,,"Statistisches Bundesamt, Ergebnisse des Mikrozensus 2016.",
02-04-ab,Entwicklung des Anteils der unterschiedlichen Formen atypischer Beschäftigung an abhängiger Beschäftigung,Line,02/04/percentages.csv,"{
  ""filter"": ""datum.category != 'Insgesamt'"",
  ""column"": ""category"",
  ""minInnerWidth"": 250,
  ""columns"": 2,
  ""columnSort"": ""none"",
  ""numberFormat"": "".1%""
}","Die Abbildung zeigt die Entwicklung des Anteils der unterschiedlichen Formen atypischer Beschäftigung an abhängiger Beschäftigung im Zeitraum von 1991 bis 2016. Zu atypischer Beschäftigung zählen befristete Beschäftigung, geringfügige Beschäftigung, Teilzeitbeschäftigung bis zu 20 Wochenstunden und Zeitarbeit. Die Anteile von befristeter, geringfügiger und Teilzeitbeschäftigung an abhängiger Beschäftigung haben sich seit 1991 erhöht. 2016 betrugen sie 7,8 Prozent für befristete Beschäftigung, 6,5 Prozent für geringfüge Beschäftigung und 14,4 Prozent für Teilzeitbeschäftigung. Zeitarbeit wird nur für den Zeitraum 2006 bis 2016 ausgewiesen. Der Anteil von Zeitarbeit an abhängiger Beschäftigung bewegte sich in diesem Zeitraum um rund zwei Prozent. ",TRUE,plotted,TRUE,TRUE,,,,"Statistisches Bundesamt, Ergebnisse des Mikrozensus 2016.","Es gilt zu beachten, dass die verschiedenen Formen von atypischer Beschäftigung nicht trennscharf sind und atypisch Beschäftigte doppelt gezählt werden können, bspw. wenn eine Person in Teilzeit arbeitet und befristet beschäftigt ist. "
02-04-b,Anzahl atypisch und normal Beschäftigter 1991 bis 2016,TimeBar,02/04/absolute.csv,"{
  ""filter"": ""datum.gender == 'Insgesamt'"",
  ""color"": ""category"",
  ""numberFormat"": ""s""
}","Die Abbildung zeigt die Anzahl atypisch und normal Beschäftigter im Zeitraum von 1991 bis 2016. Sowohl die Anzahl atypisch als auch normal Beschäftigter ist seit 2000 in Deutschland gewachsen. Die Anzahl der atypisch Beschäftigten von rund 5,9 auf 7,6 Millionen Personen, die Anzahl Normalbeschäftigter von 23,7 auf rund 25,6 Millionen.",TRUE,plotted,TRUE,TRUE,,,,"Statistisches Bundesamt, Ergebnisse des Mikrozensus 2016.",
02-04-c,Atypische Beschäftigungsformen nach Geschlecht 2016,Bar,02/04/absolute.csv,"{
  ""filter"": ""datum.gender != 'Insgesamt' && datum.year == 2014"",
  ""color"": ""gender"",
  ""numberFormat"": ""s"",
  ""y"": ""gender"",
  ""column"": ""category"",
  ""columns"": 2,
  ""highlight"": ""datum.category == 'Atypisch Beschäftigte'""
}","Die Abbildung zeigt die unterschiedlichen Formen atypischer Beschäftigung differenziert nach Geschlecht im Jahr 2016. Insgesamt sind atypische Beschäftigungsformen bei Frauen deutlich verbreiteter als bei Männern. So waren 2016 5.278.000 Frauen, aber nur 2.308.000 Männer in einem atypischen Beschäftigungsverhältnis. Dies liegt vor allem an Teilzeit und geringfügiger Beschäftigung. 2016 haben 4.082.000 Frauen in Teilzeit gearbeitet und 1.632.000 Frauen waren geringfügig beschäftigt. Im Vergleich dazu gingen nur 696.000 Männer einer Teilzeitbeschäftigung nach und nur 511.000 Männer waren geringfügig beschäftigt. Bei befristeten Arbeitsverhältnissen gibt es kaum einen Unterschied zwischen Männern und Frauen. Männer sind im Vergleich zu Frauen häufiger als Leiharbeitnehmer tätig, 2016 waren es 496.000 Männer aber nur 236.000 Frauen.",TRUE,plotted,TRUE,TRUE,,,,"Statistisches Bundesamt, Ergebnisse des Mikrozensus 2016.",
02-05-a,Entwicklung der Nettolöhne und –gehälter je Arbeitnehmer (preisbereinigt),Line,02/05/years.csv,"{
  ""numberFormat"": ""s"",
  ""zero"": false,
  ""height"": 120
}",Die Abbildung zeigt die Entwicklung der realen Nettolöhne und -gehälter je Arbeitnehmer im Zeitraum von 1991 bis 2016. Die realen Nettolöhne und -gehälter haben sich in diesem Zeitraum von 19.800 Euro auf rund 20.640 Euro erhöht.,TRUE,plotted,TRUE,TRUE,,,,"Statistisches Bundesamt 2016, Volkswirtschaftliche Gesamtrechnungen, Fachserie 18, Reihe 1.4.",
02-05-b,Entwicklung der Tarifbindung bei Beschäftigten nach Flächentarifverträgen ,Line,02/05/collective-agreements.csv,"{
  ""color"": ""region"",
  ""numberFormat"": "".0%""
}","Die Abbildung zeigt die Entwicklung der Tarifbindung bei Beschäftigten nach Flächentarifverträgen im Zeitraum von 1996 bis 2016 für die westdeutschen und ostdeutschen Bundesländer. In den ostdeutschen Bundesländern war die Tarifbindung im gesamten Zeitraum schwächer ausgeprägt. Sowohl in den ostdeutschen als auch westdeutschen Bundesländern ist die Tarifbindung seit 1996 gesunken. 1996 waren noch 70 Prozent der Beschäftigten in Westdeutschland in tarifgebundenen Betrieben tätig, 2016 nur noch 51 Prozent. In Ostdeutschland ging der Anteil seit 1996 von 56 auf 36 Prozent im Jahr 2016 zurück.",FALSE,plotted,TRUE,TRUE,,,,"Institut für Arbeitsmarkt- und Berufsforschung, IAB Betriebspanel 2016.",
02-05-c,Unbereinigte und bereinigte Entgeltlücke zwischen Männern und Frauen,Slope,02/05/gender-gap.csv,"{
  ""column"": ""category"",
  ""columnSort"": ""none"",
  ""color"": ""region"",
  ""numberFormat"": "".0%""
}","Die Abbildung zeigt die Entwicklung der unbereinigten und bereinigten Entgeltlücke zwischen Männern und Frauen im Zeitraum von 2006 bis 2015. In den ostdeutschen Bundesländern ist die unbereinigte Entgeltlücke in diesem Zeitraum von 6 auf 8 Prozent gestiegen. In den westdeutschen Bundesländern ist sie von 24 auf 23 Prozent gesunken. Vergleicht man Männer und Frauen mit gleicher Qualifikation in vergleichbaren beruflichen Positionen im Jahr 2015, bleibt eine bereinigte Entgeltlücke von 9 Prozent in den ostdeutschen Bundesländern und von 7 Prozent in den westdeutschen Bundesländern.",FALSE,plotted,TRUE,TRUE,,,,Statistisches Bundesamt.,Die Berechnung der bereinigten Entgeltlücke zwischen Männern und Frauen erfolgt nur alle vier Jahre im Rahmen der Verdienststrukturerhebung. Die Zahlen für 2014 wurden noch nicht veröffentlicht. 
02-06-a,Entwicklung der Arbeitszufriedenheit nach Einkommensgruppen,Line,02/06/income.csv,"{
  ""numberFormat"": "".2f"",
  ""color"": ""category"",
  ""confidence"": 95
}","Die Abbildung zeigt die Entwicklung der Arbeitszufriedenheit insgesamt und differenziert nach Einkommensgruppen im Zeitraum von 1991 bis 2014. Seit 1991 liegt die durchschnittliche Zufriedenheit auf einer Skala von null, sehr unzufrieden, bis zehn, sehr zufrieden, bei etwa sieben. Die Arbeitszufriedenheit der höchsten Einkommensgruppe, also der oberen zehn Prozent der Einkommensverteilung, liegt höher als die der niedrigsten Einkommensgruppe, also der unteren zehn Prozent. Am größten war der Abstand 2004. In den folgenden Jahren hat sich die Arbeitszufriedenheit der Niedrigverdiener der der Gutverdiener angenähert.",FALSE,plotted,TRUE,TRUE,,,,"Berechnungen des DIW Berlin, SOEPv32.1.",Die Arbeitszufriedenheit wird auf einer Skala von 0 (sehr unzufrieden) bis 10 (sehr zufrieden) gemessen.
